"";"sexe";"preusuel";"annais";"dpt";"nombre"
"8831";1;"_PRENOMS_RARES";"2000";"26";47
"8930";1;"_PRENOMS_RARES";"2001";"26";67
"9028";1;"_PRENOMS_RARES";"2002";"26";63
"9127";1;"_PRENOMS_RARES";"2003";"26";80
"9225";1;"_PRENOMS_RARES";"2004";"26";77
"9324";1;"_PRENOMS_RARES";"2005";"26";74
"9423";1;"_PRENOMS_RARES";"2006";"26";81
"9522";1;"_PRENOMS_RARES";"2007";"26";82
"9621";1;"_PRENOMS_RARES";"2008";"26";90
"9719";1;"_PRENOMS_RARES";"2009";"26";101
"9818";1;"_PRENOMS_RARES";"2010";"26";98
"9917";1;"_PRENOMS_RARES";"2011";"26";120
"10016";1;"_PRENOMS_RARES";"2012";"26";126
"10115";1;"_PRENOMS_RARES";"2013";"26";115
"10214";1;"_PRENOMS_RARES";"2014";"26";112
"10313";1;"_PRENOMS_RARES";"2015";"26";116
"10412";1;"_PRENOMS_RARES";"2016";"26";109
"10511";1;"_PRENOMS_RARES";"2017";"26";135
"10610";1;"_PRENOMS_RARES";"2018";"26";123
"10709";1;"_PRENOMS_RARES";"2019";"26";128
"10808";1;"_PRENOMS_RARES";"2020";"26";130
"11231";1;"AARON";"2008";"26";7
"11316";1;"AARON";"2009";"26";12
"11401";1;"AARON";"2010";"26";11
"11485";1;"AARON";"2011";"26";8
"11574";1;"AARON";"2012";"26";15
"11663";1;"AARON";"2013";"26";10
"11756";1;"AARON";"2014";"26";9
"11848";1;"AARON";"2015";"26";24
"11942";1;"AARON";"2016";"26";12
"12035";1;"AARON";"2017";"26";13
"12130";1;"AARON";"2018";"26";9
"12221";1;"AARON";"2019";"26";17
"12317";1;"AARON";"2020";"26";12
"12533";1;"ABD";"2015";"26";3
"12958";1;"ABDALLAH";"2008";"26";3
"18130";1;"ABDULLAH";"2011";"26";3
"20658";1;"ABEL";"2010";"26";4
"20696";1;"ABEL";"2011";"26";3
"20738";1;"ABEL";"2012";"26";6
"20786";1;"ABEL";"2013";"26";3
"20839";1;"ABEL";"2014";"26";4
"20892";1;"ABEL";"2015";"26";6
"20944";1;"ABEL";"2016";"26";6
"21004";1;"ABEL";"2017";"26";3
"21063";1;"ABEL";"2018";"26";5
"21119";1;"ABEL";"2019";"26";6
"21181";1;"ABEL";"2020";"26";5
"22813";1;"ACHILLE";"2005";"26";4
"22888";1;"ACHILLE";"2007";"26";3
"22961";1;"ACHILLE";"2009";"26";5
"23049";1;"ACHILLE";"2011";"26";4
"23091";1;"ACHILLE";"2012";"26";3
"23213";1;"ACHILLE";"2015";"26";5
"23255";1;"ACHILLE";"2016";"26";4
"23297";1;"ACHILLE";"2017";"26";5
"23345";1;"ACHILLE";"2018";"26";3
"23440";1;"ACHILLE";"2020";"26";3
"23614";1;"ACHRAF";"2006";"26";3
"24326";1;"ADAM";"2000";"26";7
"24390";1;"ADAM";"2001";"26";5
"24448";1;"ADAM";"2002";"26";4
"24522";1;"ADAM";"2003";"26";10
"24596";1;"ADAM";"2004";"26";11
"24672";1;"ADAM";"2005";"26";14
"24753";1;"ADAM";"2006";"26";13
"24837";1;"ADAM";"2007";"26";25
"24926";1;"ADAM";"2008";"26";24
"25015";1;"ADAM";"2009";"26";21
"25105";1;"ADAM";"2010";"26";18
"25195";1;"ADAM";"2011";"26";20
"25289";1;"ADAM";"2012";"26";22
"25377";1;"ADAM";"2013";"26";28
"25470";1;"ADAM";"2014";"26";27
"25563";1;"ADAM";"2015";"26";25
"25659";1;"ADAM";"2016";"26";28
"25749";1;"ADAM";"2017";"26";33
"25839";1;"ADAM";"2018";"26";18
"25930";1;"ADAM";"2019";"26";13
"26024";1;"ADAM";"2020";"26";21
"26474";1;"ADAME";"2011";"26";3
"26643";1;"ADAN";"2016";"26";3
"27096";1;"ADEL";"2000";"26";5
"27156";1;"ADEL";"2002";"26";5
"27180";1;"ADEL";"2003";"26";4
"27208";1;"ADEL";"2004";"26";5
"27261";1;"ADEL";"2006";"26";3
"27310";1;"ADEL";"2008";"26";3
"27354";1;"ADEL";"2010";"26";3
"27403";1;"ADEL";"2012";"26";4
"27484";1;"ADEL";"2015";"26";3
"27593";1;"ADEL";"2019";"26";3
"27824";1;"ADEM";"2000";"26";3
"27854";1;"ADEM";"2002";"26";3
"27892";1;"ADEM";"2004";"26";4
"27972";1;"ADEM";"2007";"26";7
"28041";1;"ADEM";"2009";"26";4
"28083";1;"ADEM";"2010";"26";8
"28119";1;"ADEM";"2011";"26";10
"28162";1;"ADEM";"2012";"26";4
"28210";1;"ADEM";"2013";"26";9
"28255";1;"ADEM";"2014";"26";8
"28305";1;"ADEM";"2015";"26";14
"28356";1;"ADEM";"2016";"26";14
"28406";1;"ADEM";"2017";"26";7
"28461";1;"ADEM";"2018";"26";15
"28514";1;"ADEM";"2019";"26";10
"28570";1;"ADEM";"2020";"26";3
"29382";1;"ADIL";"2017";"26";3
"31298";1;"ADONIS";"2019";"26";4
"31775";1;"ADRIAN";"2009";"26";3
"31964";1;"ADRIAN";"2019";"26";5
"32282";1;"ADRIEL";"2018";"26";3
"37859";1;"ADRIEN";"2000";"26";23
"37957";1;"ADRIEN";"2001";"26";21
"38055";1;"ADRIEN";"2002";"26";19
"38152";1;"ADRIEN";"2003";"26";19
"38248";1;"ADRIEN";"2004";"26";20
"38344";1;"ADRIEN";"2005";"26";13
"38438";1;"ADRIEN";"2006";"26";13
"38529";1;"ADRIEN";"2007";"26";11
"38623";1;"ADRIEN";"2008";"26";12
"38715";1;"ADRIEN";"2009";"26";5
"38805";1;"ADRIEN";"2010";"26";4
"38890";1;"ADRIEN";"2011";"26";9
"38977";1;"ADRIEN";"2012";"26";9
"39060";1;"ADRIEN";"2013";"26";8
"39141";1;"ADRIEN";"2014";"26";7
"39221";1;"ADRIEN";"2015";"26";10
"39295";1;"ADRIEN";"2016";"26";6
"39370";1;"ADRIEN";"2017";"26";6
"39440";1;"ADRIEN";"2018";"26";5
"39508";1;"ADRIEN";"2019";"26";3
"39575";1;"ADRIEN";"2020";"26";3
"39699";1;"AEDAN";"2017";"26";4
"41482";1;"AHMED";"2002";"26";3
"41592";1;"AHMED";"2006";"26";4
"41625";1;"AHMED";"2007";"26";5
"41728";1;"AHMED";"2010";"26";3
"41836";1;"AHMED";"2013";"26";5
"41876";1;"AHMED";"2014";"26";7
"41912";1;"AHMED";"2015";"26";3
"41957";1;"AHMED";"2016";"26";5
"42000";1;"AHMED";"2017";"26";3
"42042";1;"AHMED";"2018";"26";5
"42079";1;"AHMED";"2019";"26";3
"42120";1;"AHMED";"2020";"26";3
"42517";1;"AIDAN";"2008";"26";3
"42812";1;"AIDEN";"2016";"26";4
"48023";1;"AKRAM";"2017";"26";4
"48163";1;"AKSEL";"2013";"26";3
"55701";1;"ALAN";"2001";"26";4
"55769";1;"ALAN";"2002";"26";3
"55910";1;"ALAN";"2004";"26";3
"56034";1;"ALAN";"2006";"26";3
"56096";1;"ALAN";"2007";"26";3
"58851";1;"ALBAN";"2000";"26";6
"58916";1;"ALBAN";"2001";"26";5
"58979";1;"ALBAN";"2002";"26";3
"59167";1;"ALBAN";"2005";"26";5
"59240";1;"ALBAN";"2006";"26";6
"59308";1;"ALBAN";"2007";"26";10
"59382";1;"ALBAN";"2008";"26";9
"59456";1;"ALBAN";"2009";"26";6
"59526";1;"ALBAN";"2010";"26";5
"59658";1;"ALBAN";"2012";"26";5
"59733";1;"ALBAN";"2013";"26";5
"59796";1;"ALBAN";"2014";"26";5
"59858";1;"ALBAN";"2015";"26";5
"59922";1;"ALBAN";"2016";"26";4
"59987";1;"ALBAN";"2017";"26";7
"60053";1;"ALBAN";"2018";"26";3
"60114";1;"ALBAN";"2019";"26";5
"60169";1;"ALBAN";"2020";"26";3
"66864";1;"ALBIN";"2003";"26";3
"66867";1;"ALBIN";"2004";"26";3
"66924";1;"ALBIN";"2008";"26";4
"67091";1;"ALBIN";"2019";"26";3
"68367";1;"ALESSANDRO";"2006";"26";3
"68738";1;"ALESSIO";"2009";"26";5
"68907";1;"ALESSIO";"2015";"26";5
