"";"sexe";"preusuel";"annais";"dpt";"nombre"
"8891";1;"_PRENOMS_RARES";"2000";"86";35
"8989";1;"_PRENOMS_RARES";"2001";"86";52
"9088";1;"_PRENOMS_RARES";"2002";"86";56
"9186";1;"_PRENOMS_RARES";"2003";"86";75
"9285";1;"_PRENOMS_RARES";"2004";"86";77
"9384";1;"_PRENOMS_RARES";"2005";"86";80
"9483";1;"_PRENOMS_RARES";"2006";"86";102
"9582";1;"_PRENOMS_RARES";"2007";"86";111
"9680";1;"_PRENOMS_RARES";"2008";"86";123
"9779";1;"_PRENOMS_RARES";"2009";"86";108
"9878";1;"_PRENOMS_RARES";"2010";"86";130
"9977";1;"_PRENOMS_RARES";"2011";"86";135
"10076";1;"_PRENOMS_RARES";"2012";"86";132
"10175";1;"_PRENOMS_RARES";"2013";"86";114
"10274";1;"_PRENOMS_RARES";"2014";"86";136
"10373";1;"_PRENOMS_RARES";"2015";"86";126
"10472";1;"_PRENOMS_RARES";"2016";"86";133
"10571";1;"_PRENOMS_RARES";"2017";"86";115
"10670";1;"_PRENOMS_RARES";"2018";"86";131
"10769";1;"_PRENOMS_RARES";"2019";"86";185
"10868";1;"_PRENOMS_RARES";"2020";"86";178
"11065";1;"AARON";"2005";"86";5
"11198";1;"AARON";"2007";"86";10
"11284";1;"AARON";"2008";"86";10
"11370";1;"AARON";"2009";"86";15
"11455";1;"AARON";"2010";"86";6
"11541";1;"AARON";"2011";"86";3
"11629";1;"AARON";"2012";"86";11
"11720";1;"AARON";"2013";"86";12
"11811";1;"AARON";"2014";"86";17
"11905";1;"AARON";"2015";"86";16
"11999";1;"AARON";"2016";"86";15
"12093";1;"AARON";"2017";"86";17
"12185";1;"AARON";"2018";"86";12
"12278";1;"AARON";"2019";"86";16
"12376";1;"AARON";"2020";"86";10
"13222";1;"ABDALLAH";"2019";"86";3
"20440";1;"ABEL";"2000";"86";4
"20456";1;"ABEL";"2001";"86";5
"20488";1;"ABEL";"2003";"86";3
"20505";1;"ABEL";"2004";"86";3
"20581";1;"ABEL";"2007";"86";3
"20610";1;"ABEL";"2008";"86";4
"20642";1;"ABEL";"2009";"86";6
"20683";1;"ABEL";"2010";"86";4
"20722";1;"ABEL";"2011";"86";5
"20771";1;"ABEL";"2012";"86";5
"20820";1;"ABEL";"2013";"86";5
"20875";1;"ABEL";"2014";"86";3
"20928";1;"ABEL";"2015";"86";9
"20982";1;"ABEL";"2016";"86";4
"21046";1;"ABEL";"2017";"86";9
"21098";1;"ABEL";"2018";"86";5
"21159";1;"ABEL";"2019";"86";11
"21216";1;"ABEL";"2020";"86";11
"22988";1;"ACHILLE";"2009";"86";6
"23078";1;"ACHILLE";"2011";"86";3
"23164";1;"ACHILLE";"2013";"86";5
"23203";1;"ACHILLE";"2014";"86";3
"23244";1;"ACHILLE";"2015";"86";3
"23287";1;"ACHILLE";"2016";"86";3
"24643";1;"ADAM";"2004";"86";6
"24720";1;"ADAM";"2005";"86";4
"24804";1;"ADAM";"2006";"86";9
"24892";1;"ADAM";"2007";"86";7
"24983";1;"ADAM";"2008";"86";5
"25071";1;"ADAM";"2009";"86";9
"25160";1;"ADAM";"2010";"86";11
"25252";1;"ADAM";"2011";"86";16
"25343";1;"ADAM";"2012";"86";14
"25435";1;"ADAM";"2013";"86";13
"25528";1;"ADAM";"2014";"86";20
"25621";1;"ADAM";"2015";"86";18
"25716";1;"ADAM";"2016";"86";7
"25805";1;"ADAM";"2017";"86";15
"25893";1;"ADAM";"2018";"86";13
"25987";1;"ADAM";"2019";"86";11
"26079";1;"ADAM";"2020";"86";18
"27368";1;"ADEL";"2010";"86";3
"28500";1;"ADEM";"2018";"86";3
"37918";1;"ADRIEN";"2000";"86";15
"38016";1;"ADRIEN";"2001";"86";15
"38114";1;"ADRIEN";"2002";"86";20
"38210";1;"ADRIEN";"2003";"86";24
"38306";1;"ADRIEN";"2004";"86";14
"38403";1;"ADRIEN";"2005";"86";18
"38496";1;"ADRIEN";"2006";"86";13
"38587";1;"ADRIEN";"2007";"86";8
"38681";1;"ADRIEN";"2008";"86";13
"38771";1;"ADRIEN";"2009";"86";14
"38858";1;"ADRIEN";"2010";"86";16
"38942";1;"ADRIEN";"2011";"86";7
"39028";1;"ADRIEN";"2012";"86";4
"39109";1;"ADRIEN";"2013";"86";5
"39192";1;"ADRIEN";"2014";"86";9
"39344";1;"ADRIEN";"2016";"86";4
"39483";1;"ADRIEN";"2018";"86";4
"39551";1;"ADRIEN";"2019";"86";4
"39615";1;"ADRIEN";"2020";"86";4
"39695";1;"AEDAN";"2016";"86";3
"41473";1;"AHMED";"2001";"86";3
"41944";1;"AHMED";"2015";"86";3
"42778";1;"AIDEN";"2014";"86";3
"55671";1;"ALAN";"2000";"86";5
"55885";1;"ALAN";"2003";"86";5
"56013";1;"ALAN";"2005";"86";3
"56076";1;"ALAN";"2006";"86";5
"56274";1;"ALAN";"2010";"86";4
"58896";1;"ALBAN";"2000";"86";3
"58956";1;"ALBAN";"2001";"86";5
"59018";1;"ALBAN";"2002";"86";4
"59077";1;"ALBAN";"2003";"86";7
"59147";1;"ALBAN";"2004";"86";8
"59215";1;"ALBAN";"2005";"86";5
"59285";1;"ALBAN";"2006";"86";4
"59428";1;"ALBAN";"2008";"86";5
"59578";1;"ALBAN";"2010";"86";5
"59636";1;"ALBAN";"2011";"86";3
"59707";1;"ALBAN";"2012";"86";3
"59777";1;"ALBAN";"2013";"86";7
"59840";1;"ALBAN";"2014";"86";3
"59965";1;"ALBAN";"2016";"86";4
"60030";1;"ALBAN";"2017";"86";4
"60094";1;"ALBAN";"2018";"86";6
"60208";1;"ALBAN";"2020";"86";4
"71028";1;"ALEX";"2000";"86";8
"71116";1;"ALEX";"2001";"86";7
"71200";1;"ALEX";"2002";"86";4
"71281";1;"ALEX";"2003";"86";6
"71353";1;"ALEX";"2004";"86";4
"71423";1;"ALEX";"2005";"86";3
"71493";1;"ALEX";"2006";"86";4
"71678";1;"ALEX";"2009";"86";5
"71741";1;"ALEX";"2010";"86";3
"71903";1;"ALEX";"2013";"86";3
"72006";1;"ALEX";"2015";"86";4
"79094";1;"ALEXANDRE";"2000";"86";34
"79192";1;"ALEXANDRE";"2001";"86";33
"79290";1;"ALEXANDRE";"2002";"86";35
"79389";1;"ALEXANDRE";"2003";"86";27
"79488";1;"ALEXANDRE";"2004";"86";20
"79585";1;"ALEXANDRE";"2005";"86";19
"79681";1;"ALEXANDRE";"2006";"86";17
"79778";1;"ALEXANDRE";"2007";"86";10
"79870";1;"ALEXANDRE";"2008";"86";10
"79963";1;"ALEXANDRE";"2009";"86";13
"80059";1;"ALEXANDRE";"2010";"86";9
"80151";1;"ALEXANDRE";"2011";"86";14
"80240";1;"ALEXANDRE";"2012";"86";7
"80326";1;"ALEXANDRE";"2013";"86";14
"80403";1;"ALEXANDRE";"2014";"86";10
"80487";1;"ALEXANDRE";"2015";"86";10
"80571";1;"ALEXANDRE";"2016";"86";12
"80646";1;"ALEXANDRE";"2017";"86";5
"80723";1;"ALEXANDRE";"2018";"86";4
"80795";1;"ALEXANDRE";"2019";"86";9
"80866";1;"ALEXANDRE";"2020";"86";9
"85729";1;"ALEXIS";"2000";"86";50
"85828";1;"ALEXIS";"2001";"86";43
"85926";1;"ALEXIS";"2002";"86";29
"86023";1;"ALEXIS";"2003";"86";26
"86120";1;"ALEXIS";"2004";"86";41
"86218";1;"ALEXIS";"2005";"86";31
"86315";1;"ALEXIS";"2006";"86";17
"86410";1;"ALEXIS";"2007";"86";20
"86507";1;"ALEXIS";"2008";"86";13
"86602";1;"ALEXIS";"2009";"86";10
"86695";1;"ALEXIS";"2010";"86";14
"86790";1;"ALEXIS";"2011";"86";15
"86884";1;"ALEXIS";"2012";"86";9
"86975";1;"ALEXIS";"2013";"86";8
"87065";1;"ALEXIS";"2014";"86";9
"87149";1;"ALEXIS";"2015";"86";3
"87234";1;"ALEXIS";"2016";"86";5
"87314";1;"ALEXIS";"2017";"86";6
"87385";1;"ALEXIS";"2018";"86";4
"87853";1;"ALEXY";"2004";"86";3
"94186";1;"ALI";"2011";"86";3
"94425";1;"ALI";"2016";"86";3
"94532";1;"ALI";"2018";"86";5
"95325";1;"ALIX";"2002";"86";3
"95428";1;"ALIX";"2005";"86";3
"95497";1;"ALIX";"2007";"86";3
"95639";1;"ALIX";"2012";"86";4
"97205";1;"ALLAN";"2000";"86";3
"97414";1;"ALLAN";"2003";"86";4
"97856";1;"ALLAN";"2015";"86";3
"98341";1;"ALOIS";"2007";"86";5
"98438";1;"ALOIS";"2010";"86";3
"98503";1;"ALOÏS";"2011";"86";5
"98536";1;"ALOÏS";"2012";"86";3
"98723";1;"ALOÏS";"2018";"86";3
"98796";1;"ALOÏS";"2020";"86";10
"99079";1;"ALOYS";"2005";"86";3
"103400";1;"AMAËL";"2012";"86";4
"105747";1;"AMAURY";"2003";"86";4
"105906";1;"AMAURY";"2006";"86";3
"105955";1;"AMAURY";"2007";"86";4
"106088";1;"AMAURY";"2009";"86";3
"106157";1;"AMAURY";"2010";"86";9
"106229";1;"AMAURY";"2011";"86";3
"106289";1;"AMAURY";"2012";"86";3
"106351";1;"AMAURY";"2013";"86";5
"106477";1;"AMAURY";"2015";"86";4
"106537";1;"AMAURY";"2016";"86";4
"106695";1;"AMAURY";"2019";"86";4
"106751";1;"AMAURY";"2020";"86";4
"109710";1;"AMINE";"2001";"86";3
"109808";1;"AMINE";"2003";"86";5
"109996";1;"AMINE";"2006";"86";3
"110741";1;"AMINE";"2018";"86";3
"110833";1;"AMINE";"2020";"86";3
"111372";1;"AMIR";"2012";"86";3
"111543";1;"AMIR";"2015";"86";4
"111746";1;"AMIR";"2018";"86";6
"111820";1;"AMIR";"2019";"86";3
"112938";1;"ANAS";"2014";"86";3
"113032";1;"ANAS";"2016";"86";3
"113946";1;"ANATOLE";"2000";"86";3
"114009";1;"ANATOLE";"2003";"86";3
"114125";1;"ANATOLE";"2007";"86";3
"114164";1;"ANATOLE";"2008";"86";4
"114203";1;"ANATOLE";"2009";"86";4
"114241";1;"ANATOLE";"2010";"86";4
"114279";1;"ANATOLE";"2011";"86";3
"114320";1;"ANATOLE";"2012";"86";4
"114356";1;"ANATOLE";"2013";"86";3
"114389";1;"ANATOLE";"2014";"86";3
"114511";1;"ANATOLE";"2017";"86";3
"114550";1;"ANATOLE";"2018";"86";5
"114584";1;"ANATOLE";"2019";"86";4
"124022";1;"ANDREAS";"2008";"86";3
"125697";1;"ANDY";"2002";"86";4
"125978";1;"ANDY";"2008";"86";4
"126029";1;"ANDY";"2009";"86";5
"127925";1;"ANGE";"2018";"86";3
"128705";1;"ANGEL";"2006";"86";3
"128731";1;"ANGEL";"2007";"86";3
"128844";1;"ANGEL";"2011";"86";4
"128895";1;"ANGEL";"2013";"86";3
"129980";1;"ANGELO";"2001";"86";3
"130041";1;"ANGELO";"2003";"86";4
"130201";1;"ANGELO";"2007";"86";4
"130416";1;"ANGELO";"2012";"86";3
"130491";1;"ANGELO";"2014";"86";4
"131882";1;"ANIS";"2017";"86";3
"132839";1;"ANTHONIN";"2004";"86";3
"135872";1;"ANTHONY";"2000";"86";14
"135970";1;"ANTHONY";"2001";"86";11
"136065";1;"ANTHONY";"2002";"86";18
"136158";1;"ANTHONY";"2003";"86";8
"136250";1;"ANTHONY";"2004";"86";9
"136341";1;"ANTHONY";"2005";"86";4
"136430";1;"ANTHONY";"2006";"86";3
"136590";1;"ANTHONY";"2008";"86";3
"136662";1;"ANTHONY";"2009";"86";3
"136794";1;"ANTHONY";"2011";"86";5
"145068";1;"ANTOINE";"2000";"86";58
"145165";1;"ANTOINE";"2001";"86";45
"145263";1;"ANTOINE";"2002";"86";41
"145361";1;"ANTOINE";"2003";"86";34
"145457";1;"ANTOINE";"2004";"86";23
"145552";1;"ANTOINE";"2005";"86";32
"145649";1;"ANTOINE";"2006";"86";26
"145743";1;"ANTOINE";"2007";"86";32
"145840";1;"ANTOINE";"2008";"86";16
"145935";1;"ANTOINE";"2009";"86";15
"146030";1;"ANTOINE";"2010";"86";22
"146124";1;"ANTOINE";"2011";"86";15
"146216";1;"ANTOINE";"2012";"86";17
"146310";1;"ANTOINE";"2013";"86";6
"146405";1;"ANTOINE";"2014";"86";16
"146492";1;"ANTOINE";"2015";"86";10
"146584";1;"ANTOINE";"2016";"86";12
"146675";1;"ANTOINE";"2017";"86";16
"146767";1;"ANTOINE";"2018";"86";18
"146851";1;"ANTOINE";"2019";"86";6
"146942";1;"ANTOINE";"2020";"86";13
"149724";1;"ANTONIN";"2000";"86";17
"149810";1;"ANTONIN";"2001";"86";13
"149897";1;"ANTONIN";"2002";"86";16
"149983";1;"ANTONIN";"2003";"86";12
"150067";1;"ANTONIN";"2004";"86";20
"150149";1;"ANTONIN";"2005";"86";8
"150236";1;"ANTONIN";"2006";"86";11
"150321";1;"ANTONIN";"2007";"86";17
"150405";1;"ANTONIN";"2008";"86";14
"150491";1;"ANTONIN";"2009";"86";15
"150568";1;"ANTONIN";"2010";"86";10
"150652";1;"ANTONIN";"2011";"86";11
"150727";1;"ANTONIN";"2012";"86";9
"150804";1;"ANTONIN";"2013";"86";7
"150889";1;"ANTONIN";"2014";"86";10
"150970";1;"ANTONIN";"2015";"86";3
"151049";1;"ANTONIN";"2016";"86";8
"151128";1;"ANTONIN";"2017";"86";7
"151203";1;"ANTONIN";"2018";"86";6
"151276";1;"ANTONIN";"2019";"86";8
"151345";1;"ANTONIN";"2020";"86";5
"162661";1;"ARMAND";"2000";"86";10
"162704";1;"ARMAND";"2001";"86";4
"162753";1;"ARMAND";"2002";"86";3
"162842";1;"ARMAND";"2004";"86";9
"162888";1;"ARMAND";"2005";"86";6
"162939";1;"ARMAND";"2006";"86";8
"162998";1;"ARMAND";"2007";"86";7
"163044";1;"ARMAND";"2008";"86";6
"163147";1;"ARMAND";"2010";"86";5
"163194";1;"ARMAND";"2011";"86";5
"163237";1;"ARMAND";"2012";"86";9
"163282";1;"ARMAND";"2013";"86";9
"163387";1;"ARMAND";"2015";"86";6
"163447";1;"ARMAND";"2016";"86";7
"163498";1;"ARMAND";"2017";"86";6
"163546";1;"ARMAND";"2018";"86";8
"163603";1;"ARMAND";"2019";"86";6
"163655";1;"ARMAND";"2020";"86";10
"164365";1;"ARMEL";"2020";"86";4
"168244";1;"ARNAUD";"2000";"86";8
"168331";1;"ARNAUD";"2001";"86";11
"168407";1;"ARNAUD";"2002";"86";12
"168549";1;"ARNAUD";"2004";"86";5
"168615";1;"ARNAUD";"2005";"86";5
"168679";1;"ARNAUD";"2006";"86";3
"168982";1;"ARNAUD";"2020";"86";3
"169850";1;"ARON";"2016";"86";3
"169921";1;"ARON";"2019";"86";3
"171399";1;"ARSENE";"2003";"86";3
"171409";1;"ARSENE";"2004";"86";4
"171645";1;"ARSÈNE";"2012";"86";7
"171681";1;"ARSÈNE";"2013";"86";4
"171752";1;"ARSÈNE";"2015";"86";4
"171841";1;"ARSÈNE";"2017";"86";7
"171885";1;"ARSÈNE";"2018";"86";6
"171941";1;"ARSÈNE";"2019";"86";6
"171989";1;"ARSÈNE";"2020";"86";6
"175264";1;"ARTHUR";"2000";"86";33
"175361";1;"ARTHUR";"2001";"86";30
"175456";1;"ARTHUR";"2002";"86";38
"175552";1;"ARTHUR";"2003";"86";46
"175646";1;"ARTHUR";"2004";"86";32
"175742";1;"ARTHUR";"2005";"86";34
"175839";1;"ARTHUR";"2006";"86";19
"175936";1;"ARTHUR";"2007";"86";27
"176033";1;"ARTHUR";"2008";"86";27
"176130";1;"ARTHUR";"2009";"86";22
"176228";1;"ARTHUR";"2010";"86";30
"176324";1;"ARTHUR";"2011";"86";40
"176421";1;"ARTHUR";"2012";"86";28
"176519";1;"ARTHUR";"2013";"86";28
"176616";1;"ARTHUR";"2014";"86";32
"176712";1;"ARTHUR";"2015";"86";28
"176808";1;"ARTHUR";"2016";"86";20
"176904";1;"ARTHUR";"2017";"86";27
"177002";1;"ARTHUR";"2018";"86";30
"177098";1;"ARTHUR";"2019";"86";24
"177195";1;"ARTHUR";"2020";"86";27
"178431";1;"AUBIN";"2005";"86";4
"178686";1;"AUBIN";"2013";"86";3
"178761";1;"AUBIN";"2015";"86";4
"178866";1;"AUBIN";"2018";"86";5
"182965";1;"AUGUSTE";"2006";"86";3
"183147";1;"AUGUSTE";"2014";"86";3
"183335";1;"AUGUSTE";"2018";"86";5
"183392";1;"AUGUSTE";"2019";"86";3
"183456";1;"AUGUSTE";"2020";"86";4
"185774";1;"AUGUSTIN";"2000";"86";3
"185875";1;"AUGUSTIN";"2002";"86";3
"185931";1;"AUGUSTIN";"2003";"86";4
"185986";1;"AUGUSTIN";"2004";"86";6
"186039";1;"AUGUSTIN";"2005";"86";5
"186097";1;"AUGUSTIN";"2006";"86";5
"186235";1;"AUGUSTIN";"2008";"86";5
"186308";1;"AUGUSTIN";"2009";"86";7
"186375";1;"AUGUSTIN";"2010";"86";8
"186443";1;"AUGUSTIN";"2011";"86";6
"186511";1;"AUGUSTIN";"2012";"86";5
"186589";1;"AUGUSTIN";"2013";"86";8
"186662";1;"AUGUSTIN";"2014";"86";9
"186740";1;"AUGUSTIN";"2015";"86";8
"186823";1;"AUGUSTIN";"2016";"86";7
"186905";1;"AUGUSTIN";"2017";"86";5
"186988";1;"AUGUSTIN";"2018";"86";11
"187071";1;"AUGUSTIN";"2019";"86";7
"187144";1;"AUGUSTIN";"2020";"86";13
"190064";1;"AURÉLIEN";"2000";"86";10
"190151";1;"AURÉLIEN";"2001";"86";14
"190239";1;"AURÉLIEN";"2002";"86";10
"190332";1;"AURÉLIEN";"2003";"86";5
"190418";1;"AURÉLIEN";"2004";"86";4
"190497";1;"AURÉLIEN";"2005";"86";6
"190770";1;"AURÉLIEN";"2009";"86";3
"191428";1;"AWEN";"2014";"86";3
"193173";1;"AXEL";"2000";"86";22
"193270";1;"AXEL";"2001";"86";22
"193365";1;"AXEL";"2002";"86";33
"193461";1;"AXEL";"2003";"86";19
"193558";1;"AXEL";"2004";"86";22
"193656";1;"AXEL";"2005";"86";31
"193752";1;"AXEL";"2006";"86";29
"193846";1;"AXEL";"2007";"86";23
"193941";1;"AXEL";"2008";"86";21
"194036";1;"AXEL";"2009";"86";24
"194134";1;"AXEL";"2010";"86";19
"194231";1;"AXEL";"2011";"86";21
"194329";1;"AXEL";"2012";"86";26
"194428";1;"AXEL";"2013";"86";24
"194525";1;"AXEL";"2014";"86";13
"194618";1;"AXEL";"2015";"86";19
"194711";1;"AXEL";"2016";"86";15
"194802";1;"AXEL";"2017";"86";10
"194894";1;"AXEL";"2018";"86";13
"194983";1;"AXEL";"2019";"86";8
"195073";1;"AXEL";"2020";"86";7
"195663";1;"AYDEN";"2013";"86";3
"195708";1;"AYDEN";"2014";"86";4
"195838";1;"AYDEN";"2016";"86";3
"195907";1;"AYDEN";"2017";"86";4
"195987";1;"AYDEN";"2018";"86";7
"196071";1;"AYDEN";"2019";"86";5
"196158";1;"AYDEN";"2020";"86";6
"196368";1;"AYLAN";"2016";"86";5
"199877";1;"AYMERIC";"2002";"86";5
"200076";1;"AYMERIC";"2005";"86";3
"200196";1;"AYMERIC";"2007";"86";3
"200456";1;"AYMERIC";"2013";"86";3
"201746";1;"AYOUB";"2014";"86";3
"203661";1;"BAFODE";"2005";"86";3
"203668";1;"BAFODÉ";"2019";"86";3
"204084";1;"BAMBO";"2012";"86";3
"204085";1;"BAMBO";"2018";"86";3
"207079";1;"BAPTISTE";"2000";"86";24
"207174";1;"BAPTISTE";"2001";"86";34
"207269";1;"BAPTISTE";"2002";"86";27
"207363";1;"BAPTISTE";"2003";"86";24
"207460";1;"BAPTISTE";"2004";"86";38
"207556";1;"BAPTISTE";"2005";"86";28
"207653";1;"BAPTISTE";"2006";"86";19
"207751";1;"BAPTISTE";"2007";"86";24
"207847";1;"BAPTISTE";"2008";"86";18
"207943";1;"BAPTISTE";"2009";"86";14
"208039";1;"BAPTISTE";"2010";"86";17
"208135";1;"BAPTISTE";"2011";"86";27
"208228";1;"BAPTISTE";"2012";"86";17
"208323";1;"BAPTISTE";"2013";"86";21
"208416";1;"BAPTISTE";"2014";"86";15
"208510";1;"BAPTISTE";"2015";"86";16
"208603";1;"BAPTISTE";"2016";"86";11
"208693";1;"BAPTISTE";"2017";"86";11
"208783";1;"BAPTISTE";"2018";"86";9
"208869";1;"BAPTISTE";"2019";"86";9
"208951";1;"BAPTISTE";"2020";"86";6
"210726";1;"BASILE";"2000";"86";3
"210822";1;"BASILE";"2003";"86";3
"210983";1;"BASILE";"2007";"86";5
"211104";1;"BASILE";"2010";"86";3
"211155";1;"BASILE";"2011";"86";4
"211203";1;"BASILE";"2012";"86";3
"211248";1;"BASILE";"2013";"86";5
"211298";1;"BASILE";"2014";"86";5
"211346";1;"BASILE";"2015";"86";9
"211407";1;"BASILE";"2016";"86";4
"211461";1;"BASILE";"2017";"86";3
"211518";1;"BASILE";"2018";"86";3
"211575";1;"BASILE";"2019";"86";7
"213948";1;"BASTIEN";"2000";"86";9
"214042";1;"BASTIEN";"2001";"86";11
"214140";1;"BASTIEN";"2002";"86";8
"214231";1;"BASTIEN";"2003";"86";16
"214321";1;"BASTIEN";"2004";"86";9
"214410";1;"BASTIEN";"2005";"86";13
"214501";1;"BASTIEN";"2006";"86";6
"214587";1;"BASTIEN";"2007";"86";7
"214680";1;"BASTIEN";"2008";"86";11
"214765";1;"BASTIEN";"2009";"86";7
"214851";1;"BASTIEN";"2010";"86";8
"214940";1;"BASTIEN";"2011";"86";6
"215022";1;"BASTIEN";"2012";"86";7
"215106";1;"BASTIEN";"2013";"86";4
"215184";1;"BASTIEN";"2014";"86";4
"215264";1;"BASTIEN";"2015";"86";6
"215408";1;"BASTIEN";"2017";"86";5
"215479";1;"BASTIEN";"2018";"86";3
"219927";1;"BENJAMIN";"2000";"86";25
"220026";1;"BENJAMIN";"2001";"86";30
"220125";1;"BENJAMIN";"2002";"86";12
"220222";1;"BENJAMIN";"2003";"86";19
"220319";1;"BENJAMIN";"2004";"86";21
"220416";1;"BENJAMIN";"2005";"86";15
"220509";1;"BENJAMIN";"2006";"86";12
"220602";1;"BENJAMIN";"2007";"86";9
"220692";1;"BENJAMIN";"2008";"86";5
