"";"sexe";"preusuel";"annais";"dpt";"nombre"
"8882";1;"_PRENOMS_RARES";"2000";"77";264
"8980";1;"_PRENOMS_RARES";"2001";"77";255
"9079";1;"_PRENOMS_RARES";"2002";"77";330
"9177";1;"_PRENOMS_RARES";"2003";"77";294
"9276";1;"_PRENOMS_RARES";"2004";"77";315
"9375";1;"_PRENOMS_RARES";"2005";"77";339
"9474";1;"_PRENOMS_RARES";"2006";"77";370
"9573";1;"_PRENOMS_RARES";"2007";"77";401
"9671";1;"_PRENOMS_RARES";"2008";"77";411
"9770";1;"_PRENOMS_RARES";"2009";"77";428
"9869";1;"_PRENOMS_RARES";"2010";"77";486
"9968";1;"_PRENOMS_RARES";"2011";"77";474
"10067";1;"_PRENOMS_RARES";"2012";"77";481
"10166";1;"_PRENOMS_RARES";"2013";"77";558
"10265";1;"_PRENOMS_RARES";"2014";"77";544
"10364";1;"_PRENOMS_RARES";"2015";"77";541
"10463";1;"_PRENOMS_RARES";"2016";"77";517
"10562";1;"_PRENOMS_RARES";"2017";"77";519
"10661";1;"_PRENOMS_RARES";"2018";"77";600
"10760";1;"_PRENOMS_RARES";"2019";"77";600
"10859";1;"_PRENOMS_RARES";"2020";"77";628
"10954";1;"AARON";"2001";"77";3
"11015";1;"AARON";"2004";"77";5
"11059";1;"AARON";"2005";"77";6
"11118";1;"AARON";"2006";"77";17
"11190";1;"AARON";"2007";"77";20
"11275";1;"AARON";"2008";"77";35
"11361";1;"AARON";"2009";"77";28
"11446";1;"AARON";"2010";"77";28
"11532";1;"AARON";"2011";"77";38
"11620";1;"AARON";"2012";"77";42
"11711";1;"AARON";"2013";"77";40
"11802";1;"AARON";"2014";"77";50
"11896";1;"AARON";"2015";"77";46
"11990";1;"AARON";"2016";"77";57
"12084";1;"AARON";"2017";"77";59
"12176";1;"AARON";"2018";"77";51
"12269";1;"AARON";"2019";"77";58
"12367";1;"AARON";"2020";"77";46
"12421";1;"ABBAS";"2017";"77";3
"12896";1;"ABDALLAH";"2003";"77";5
"12922";1;"ABDALLAH";"2005";"77";5
"12968";1;"ABDALLAH";"2008";"77";5
"12989";1;"ABDALLAH";"2009";"77";3
"13007";1;"ABDALLAH";"2010";"77";7
"13046";1;"ABDALLAH";"2012";"77";6
"13069";1;"ABDALLAH";"2013";"77";9
"13121";1;"ABDALLAH";"2015";"77";6
"13173";1;"ABDALLAH";"2017";"77";3
