"";"sexe";"preusuel";"annais";"dpt";"nombre"
"8816";1;"_PRENOMS_RARES";"2000";"11";37
"8915";1;"_PRENOMS_RARES";"2001";"11";38
"9013";1;"_PRENOMS_RARES";"2002";"11";29
"9112";1;"_PRENOMS_RARES";"2003";"11";35
"9210";1;"_PRENOMS_RARES";"2004";"11";43
"9309";1;"_PRENOMS_RARES";"2005";"11";50
"9408";1;"_PRENOMS_RARES";"2006";"11";58
"9507";1;"_PRENOMS_RARES";"2007";"11";41
"9606";1;"_PRENOMS_RARES";"2008";"11";58
"9704";1;"_PRENOMS_RARES";"2009";"11";73
"9803";1;"_PRENOMS_RARES";"2010";"11";54
"9902";1;"_PRENOMS_RARES";"2011";"11";71
"10001";1;"_PRENOMS_RARES";"2012";"11";73
"10100";1;"_PRENOMS_RARES";"2013";"11";79
"10199";1;"_PRENOMS_RARES";"2014";"11";93
"10298";1;"_PRENOMS_RARES";"2015";"11";84
"10397";1;"_PRENOMS_RARES";"2016";"11";82
"10496";1;"_PRENOMS_RARES";"2017";"11";87
"10595";1;"_PRENOMS_RARES";"2018";"11";73
"10694";1;"_PRENOMS_RARES";"2019";"11";88
"10793";1;"_PRENOMS_RARES";"2020";"11";87
"10934";1;"AARON";"2000";"11";4
"11027";1;"AARON";"2005";"11";3
"11078";1;"AARON";"2006";"11";4
"11140";1;"AARON";"2007";"11";6
"11218";1;"AARON";"2008";"11";7
"11304";1;"AARON";"2009";"11";6
"11389";1;"AARON";"2010";"11";6
"11474";1;"AARON";"2011";"11";9
"11562";1;"AARON";"2012";"11";12
"11650";1;"AARON";"2013";"11";9
"11742";1;"AARON";"2014";"11";12
"11835";1;"AARON";"2015";"11";9
"11928";1;"AARON";"2016";"11";11
"12022";1;"AARON";"2017";"11";12
"12116";1;"AARON";"2018";"11";8
"12209";1;"AARON";"2019";"11";12
"12302";1;"AARON";"2020";"11";12
"22996";1;"ACHILLE";"2010";"11";3
"23338";1;"ACHILLE";"2018";"11";4
"24382";1;"ADAM";"2001";"11";8
"24441";1;"ADAM";"2002";"11";7
"24511";1;"ADAM";"2003";"11";6
"24584";1;"ADAM";"2004";"11";7
"24661";1;"ADAM";"2005";"11";6
"24740";1;"ADAM";"2006";"11";16
"24825";1;"ADAM";"2007";"11";11
"24914";1;"ADAM";"2008";"11";9
"25002";1;"ADAM";"2009";"11";11
"25092";1;"ADAM";"2010";"11";11
"25183";1;"ADAM";"2011";"11";17
"25275";1;"ADAM";"2012";"11";27
"25364";1;"ADAM";"2013";"11";17
"25457";1;"ADAM";"2014";"11";10
"25549";1;"ADAM";"2015";"11";11
"25644";1;"ADAM";"2016";"11";16
"25736";1;"ADAM";"2017";"11";18
"25826";1;"ADAM";"2018";"11";9
"25916";1;"ADAM";"2019";"11";12
"26010";1;"ADAM";"2020";"11";13
"27093";1;"ADEL";"2000";"11";3
"28115";1;"ADEM";"2011";"11";3
"28509";1;"ADEM";"2019";"11";4
"28565";1;"ADEM";"2020";"11";3
"31808";1;"ADRIAN";"2011";"11";3
"31962";1;"ADRIAN";"2019";"11";3
"37844";1;"ADRIEN";"2000";"11";9
"37942";1;"ADRIEN";"2001";"11";15
"38040";1;"ADRIEN";"2002";"11";8
"38137";1;"ADRIEN";"2003";"11";10
"38234";1;"ADRIEN";"2004";"11";9
"38330";1;"ADRIEN";"2005";"11";8
"38424";1;"ADRIEN";"2006";"11";9
"38516";1;"ADRIEN";"2007";"11";5
"38609";1;"ADRIEN";"2008";"11";8
"38701";1;"ADRIEN";"2009";"11";7
"38791";1;"ADRIEN";"2010";"11";10
"38876";1;"ADRIEN";"2011";"11";6
"38963";1;"ADRIEN";"2012";"11";4
"39046";1;"ADRIEN";"2013";"11";10
"39128";1;"ADRIEN";"2014";"11";3
"39210";1;"ADRIEN";"2015";"11";6
"39285";1;"ADRIEN";"2016";"11";3
"39497";1;"ADRIEN";"2019";"11";6
"39564";1;"ADRIEN";"2020";"11";3
