"";"sexe";"preusuel";"annais";"dpt";"nombre"
"8837";1;"_PRENOMS_RARES";"2000";"32";5
"8936";1;"_PRENOMS_RARES";"2001";"32";8
"9034";1;"_PRENOMS_RARES";"2002";"32";10
"9133";1;"_PRENOMS_RARES";"2003";"32";9
"9231";1;"_PRENOMS_RARES";"2004";"32";10
"9330";1;"_PRENOMS_RARES";"2005";"32";8
"9429";1;"_PRENOMS_RARES";"2006";"32";7
"9528";1;"_PRENOMS_RARES";"2007";"32";14
"9627";1;"_PRENOMS_RARES";"2008";"32";9
"9725";1;"_PRENOMS_RARES";"2009";"32";13
"9824";1;"_PRENOMS_RARES";"2010";"32";12
"9923";1;"_PRENOMS_RARES";"2011";"32";22
"10022";1;"_PRENOMS_RARES";"2012";"32";18
"10121";1;"_PRENOMS_RARES";"2013";"32";17
"10220";1;"_PRENOMS_RARES";"2014";"32";16
"10319";1;"_PRENOMS_RARES";"2015";"32";22
"10418";1;"_PRENOMS_RARES";"2016";"32";22
"10517";1;"_PRENOMS_RARES";"2017";"32";20
"10616";1;"_PRENOMS_RARES";"2018";"32";26
"10715";1;"_PRENOMS_RARES";"2019";"32";20
"10814";1;"_PRENOMS_RARES";"2020";"32";24
"11669";1;"AARON";"2013";"32";3
"11854";1;"AARON";"2015";"32";4
"11948";1;"AARON";"2016";"32";4
"12041";1;"AARON";"2017";"32";3
"12227";1;"AARON";"2019";"32";8
"12323";1;"AARON";"2020";"32";7
"23005";1;"ACHILLE";"2010";"32";3
"24843";1;"ADAM";"2007";"32";3
"25021";1;"ADAM";"2009";"32";3
"25201";1;"ADAM";"2011";"32";5
"25383";1;"ADAM";"2013";"32";3
"25476";1;"ADAM";"2014";"32";4
"25569";1;"ADAM";"2015";"32";4
"25665";1;"ADAM";"2016";"32";3
"25755";1;"ADAM";"2017";"32";3
"25936";1;"ADAM";"2019";"32";3
"26030";1;"ADAM";"2020";"32";4
"37865";1;"ADRIEN";"2000";"32";8
"37963";1;"ADRIEN";"2001";"32";5
"38061";1;"ADRIEN";"2002";"32";3
"38254";1;"ADRIEN";"2004";"32";7
"38350";1;"ADRIEN";"2005";"32";3
"38535";1;"ADRIEN";"2007";"32";6
"38629";1;"ADRIEN";"2008";"32";10
"38721";1;"ADRIEN";"2009";"32";7
"38983";1;"ADRIEN";"2012";"32";3
"39147";1;"ADRIEN";"2014";"32";4
"39376";1;"ADRIEN";"2017";"32";3
"59313";1;"ALBAN";"2007";"32";5
"59387";1;"ALBAN";"2008";"32";6
"59461";1;"ALBAN";"2009";"32";4
"59992";1;"ALBAN";"2017";"32";3
"79040";1;"ALEXANDRE";"2000";"32";12
"79138";1;"ALEXANDRE";"2001";"32";6
"79236";1;"ALEXANDRE";"2002";"32";13
"79335";1;"ALEXANDRE";"2003";"32";4
"79434";1;"ALEXANDRE";"2004";"32";7
"79533";1;"ALEXANDRE";"2005";"32";6
"79725";1;"ALEXANDRE";"2007";"32";7
"79820";1;"ALEXANDRE";"2008";"32";4
"79912";1;"ALEXANDRE";"2009";"32";4
"80006";1;"ALEXANDRE";"2010";"32";5
"80101";1;"ALEXANDRE";"2011";"32";3
"80191";1;"ALEXANDRE";"2012";"32";4
"85675";1;"ALEXIS";"2000";"32";7
"85774";1;"ALEXIS";"2001";"32";8
"85872";1;"ALEXIS";"2002";"32";4
"85970";1;"ALEXIS";"2003";"32";6
"86067";1;"ALEXIS";"2004";"32";13
"86165";1;"ALEXIS";"2005";"32";5
"86262";1;"ALEXIS";"2006";"32";7
"86455";1;"ALEXIS";"2008";"32";3
"86550";1;"ALEXIS";"2009";"32";5
"86644";1;"ALEXIS";"2010";"32";3
"86738";1;"ALEXIS";"2011";"32";6
"86833";1;"ALEXIS";"2012";"32";3
"87416";1;"ALEXIS";"2019";"32";3
"111338";1;"AMIR";"2012";"32";3
"111568";1;"AMIR";"2016";"32";4
"111853";1;"AMIR";"2020";"32";3
"123448";1;"ANDRÉA";"2005";"32";3
"129035";1;"ANGEL";"2020";"32";3
"129961";1;"ANGELO";"2001";"32";3
"135819";1;"ANTHONY";"2000";"32";4
"135916";1;"ANTHONY";"2001";"32";8
"136014";1;"ANTHONY";"2002";"32";8
"136107";1;"ANTHONY";"2003";"32";3
"145014";1;"ANTOINE";"2000";"32";3
"145112";1;"ANTOINE";"2001";"32";8
"145210";1;"ANTOINE";"2002";"32";6
"145403";1;"ANTOINE";"2004";"32";3
"145596";1;"ANTOINE";"2006";"32";3
"145690";1;"ANTOINE";"2007";"32";6
"145787";1;"ANTOINE";"2008";"32";6
"145884";1;"ANTOINE";"2009";"32";8
"146072";1;"ANTOINE";"2011";"32";3
"146353";1;"ANTOINE";"2014";"32";4
"146532";1;"ANTOINE";"2016";"32";4
"146625";1;"ANTOINE";"2017";"32";3
"146716";1;"ANTOINE";"2018";"32";4
"146892";1;"ANTOINE";"2020";"32";3
"150523";1;"ANTONIN";"2010";"32";3
"163414";1;"ARMAND";"2016";"32";3
"163618";1;"ARMAND";"2020";"32";3
"168365";1;"ARNAUD";"2002";"32";3
"168441";1;"ARNAUD";"2003";"32";3
"175212";1;"ARTHUR";"2000";"32";3
"175308";1;"ARTHUR";"2001";"32";4
"175403";1;"ARTHUR";"2002";"32";7
"175498";1;"ARTHUR";"2003";"32";5
"175595";1;"ARTHUR";"2004";"32";5
"175689";1;"ARTHUR";"2005";"32";3
"175787";1;"ARTHUR";"2006";"32";5
"175882";1;"ARTHUR";"2007";"32";3
"175979";1;"ARTHUR";"2008";"32";3
"176175";1;"ARTHUR";"2010";"32";6
"176271";1;"ARTHUR";"2011";"32";5
"176368";1;"ARTHUR";"2012";"32";4
"176466";1;"ARTHUR";"2013";"32";5
"176563";1;"ARTHUR";"2014";"32";6
"176659";1;"ARTHUR";"2015";"32";6
"176755";1;"ARTHUR";"2016";"32";7
"176949";1;"ARTHUR";"2018";"32";4
"177045";1;"ARTHUR";"2019";"32";10
"177143";1;"ARTHUR";"2020";"32";3
"183246";1;"AUGUSTE";"2017";"32";3
"186692";1;"AUGUSTIN";"2015";"32";3
"186778";1;"AUGUSTIN";"2016";"32";4
"187025";1;"AUGUSTIN";"2019";"32";3
"187104";1;"AUGUSTIN";"2020";"32";4
"190012";1;"AURÉLIEN";"2000";"32";7
"190192";1;"AURÉLIEN";"2002";"32";3
"190282";1;"AURÉLIEN";"2003";"32";4
"190453";1;"AURÉLIEN";"2005";"32";3
"190791";1;"AURÉLIEN";"2010";"32";3
"193120";1;"AXEL";"2000";"32";4
"193217";1;"AXEL";"2001";"32";5
"193314";1;"AXEL";"2002";"32";7
"193409";1;"AXEL";"2003";"32";4
"193505";1;"AXEL";"2004";"32";6
"193603";1;"AXEL";"2005";"32";5
"193699";1;"AXEL";"2006";"32";6
"193794";1;"AXEL";"2007";"32";4
"193985";1;"AXEL";"2009";"32";3
"194081";1;"AXEL";"2010";"32";7
"194178";1;"AXEL";"2011";"32";3
"194276";1;"AXEL";"2012";"32";3
"194374";1;"AXEL";"2013";"32";5
"194933";1;"AXEL";"2019";"32";4
"195942";1;"AYDEN";"2018";"32";3
"207025";1;"BAPTISTE";"2000";"32";9
