"";"sexe";"preusuel";"annais";"dpt";"nombre"
"8827";1;"_PRENOMS_RARES";"2000";"22";69
"8926";1;"_PRENOMS_RARES";"2001";"22";50
"9024";1;"_PRENOMS_RARES";"2002";"22";65
"9123";1;"_PRENOMS_RARES";"2003";"22";66
"9221";1;"_PRENOMS_RARES";"2004";"22";69
"9320";1;"_PRENOMS_RARES";"2005";"22";89
"9419";1;"_PRENOMS_RARES";"2006";"22";83
"9518";1;"_PRENOMS_RARES";"2007";"22";89
"9617";1;"_PRENOMS_RARES";"2008";"22";94
"9715";1;"_PRENOMS_RARES";"2009";"22";127
"9814";1;"_PRENOMS_RARES";"2010";"22";126
"9913";1;"_PRENOMS_RARES";"2011";"22";85
"10012";1;"_PRENOMS_RARES";"2012";"22";105
"10111";1;"_PRENOMS_RARES";"2013";"22";97
"10210";1;"_PRENOMS_RARES";"2014";"22";104
"10309";1;"_PRENOMS_RARES";"2015";"22";98
"10408";1;"_PRENOMS_RARES";"2016";"22";118
"10507";1;"_PRENOMS_RARES";"2017";"22";92
"10606";1;"_PRENOMS_RARES";"2018";"22";108
"10705";1;"_PRENOMS_RARES";"2019";"22";107
"10804";1;"_PRENOMS_RARES";"2020";"22";129
"11082";1;"AARON";"2006";"22";4
"11147";1;"AARON";"2007";"22";12
"11228";1;"AARON";"2008";"22";18
"11313";1;"AARON";"2009";"22";9
"11398";1;"AARON";"2010";"22";14
"11482";1;"AARON";"2011";"22";16
"11571";1;"AARON";"2012";"22";21
"11660";1;"AARON";"2013";"22";18
"11753";1;"AARON";"2014";"22";21
"11845";1;"AARON";"2015";"22";18
"11939";1;"AARON";"2016";"22";15
"12032";1;"AARON";"2017";"22";12
"12127";1;"AARON";"2018";"22";22
"12218";1;"AARON";"2019";"22";13
"12313";1;"AARON";"2020";"22";13
"20444";1;"ABEL";"2001";"22";3
"20590";1;"ABEL";"2008";"22";3
"20620";1;"ABEL";"2009";"22";3
"20657";1;"ABEL";"2010";"22";3
"20693";1;"ABEL";"2011";"22";5
"20737";1;"ABEL";"2012";"22";3
"20783";1;"ABEL";"2013";"22";4
"20836";1;"ABEL";"2014";"22";5
"21061";1;"ABEL";"2018";"22";3
"21116";1;"ABEL";"2019";"22";7
"21178";1;"ABEL";"2020";"22";7
"22788";1;"ACHILLE";"2004";"22";3
"22843";1;"ACHILLE";"2006";"22";3
"23001";1;"ACHILLE";"2010";"22";3
"23134";1;"ACHILLE";"2013";"22";3
"23295";1;"ACHILLE";"2017";"22";3
"23392";1;"ACHILLE";"2019";"22";3
