"";"sexe";"preusuel";"annais";"dpt";"nombre"
"8866";1;"_PRENOMS_RARES";"2000";"61";36
"8964";1;"_PRENOMS_RARES";"2001";"61";31
"9063";1;"_PRENOMS_RARES";"2002";"61";49
"9161";1;"_PRENOMS_RARES";"2003";"61";41
"9260";1;"_PRENOMS_RARES";"2004";"61";36
"9359";1;"_PRENOMS_RARES";"2005";"61";41
"9458";1;"_PRENOMS_RARES";"2006";"61";46
"9557";1;"_PRENOMS_RARES";"2007";"61";59
"9655";1;"_PRENOMS_RARES";"2008";"61";49
"9754";1;"_PRENOMS_RARES";"2009";"61";60
"9853";1;"_PRENOMS_RARES";"2010";"61";52
"9952";1;"_PRENOMS_RARES";"2011";"61";54
"10051";1;"_PRENOMS_RARES";"2012";"61";64
"10150";1;"_PRENOMS_RARES";"2013";"61";60
"10249";1;"_PRENOMS_RARES";"2014";"61";59
"10348";1;"_PRENOMS_RARES";"2015";"61";76
"10447";1;"_PRENOMS_RARES";"2016";"61";63
"10546";1;"_PRENOMS_RARES";"2017";"61";56
"10645";1;"_PRENOMS_RARES";"2018";"61";70
"10744";1;"_PRENOMS_RARES";"2019";"61";54
"10843";1;"_PRENOMS_RARES";"2020";"61";69
"11008";1;"AARON";"2004";"61";3
"11049";1;"AARON";"2005";"61";4
"11175";1;"AARON";"2007";"61";3
"11260";1;"AARON";"2008";"61";3
"11346";1;"AARON";"2009";"61";9
"11431";1;"AARON";"2010";"61";6
"11516";1;"AARON";"2011";"61";10
"11605";1;"AARON";"2012";"61";6
"11696";1;"AARON";"2013";"61";8
"11786";1;"AARON";"2014";"61";5
"11880";1;"AARON";"2015";"61";13
"11974";1;"AARON";"2016";"61";12
"12068";1;"AARON";"2017";"61";12
"12160";1;"AARON";"2018";"61";13
"12253";1;"AARON";"2019";"61";11
"12351";1;"AARON";"2020";"61";13
"20539";1;"ABEL";"2006";"61";3
"20673";1;"ABEL";"2010";"61";3
"20858";1;"ABEL";"2014";"61";3
"21026";1;"ABEL";"2017";"61";4
"21200";1;"ABEL";"2020";"61";3
"23106";1;"ACHILLE";"2012";"61";3
"23410";1;"ACHILLE";"2019";"61";4
"23460";1;"ACHILLE";"2020";"61";3
"24351";1;"ADAM";"2000";"61";6
"24780";1;"ADAM";"2006";"61";6
"24868";1;"ADAM";"2007";"61";6
"24958";1;"ADAM";"2008";"61";6
"25046";1;"ADAM";"2009";"61";4
"25227";1;"ADAM";"2011";"61";3
"25318";1;"ADAM";"2012";"61";11
"25410";1;"ADAM";"2013";"61";8
"25503";1;"ADAM";"2014";"61";5
"25596";1;"ADAM";"2015";"61";9
"25691";1;"ADAM";"2016";"61";10
"25780";1;"ADAM";"2017";"61";9
"25869";1;"ADAM";"2018";"61";17
"25963";1;"ADAM";"2019";"61";8
"26055";1;"ADAM";"2020";"61";3
"27830";1;"ADEM";"2000";"61";3
"28097";1;"ADEM";"2010";"61";3
"28182";1;"ADEM";"2012";"61";4
"28534";1;"ADEM";"2019";"61";4
"37893";1;"ADRIEN";"2000";"61";6
"37991";1;"ADRIEN";"2001";"61";11
"38089";1;"ADRIEN";"2002";"61";15
"38185";1;"ADRIEN";"2003";"61";12
"38282";1;"ADRIEN";"2004";"61";10
"38378";1;"ADRIEN";"2005";"61";12
"38471";1;"ADRIEN";"2006";"61";11
"38562";1;"ADRIEN";"2007";"61";5
"38656";1;"ADRIEN";"2008";"61";6
"38747";1;"ADRIEN";"2009";"61";7
"38834";1;"ADRIEN";"2010";"61";5
"39004";1;"ADRIEN";"2012";"61";6
"39087";1;"ADRIEN";"2013";"61";3
"39169";1;"ADRIEN";"2014";"61";3
"39246";1;"ADRIEN";"2015";"61";3
"39396";1;"ADRIEN";"2017";"61";4
"55649";1;"ALAN";"2000";"61";10
"55727";1;"ALAN";"2001";"61";5
"55798";1;"ALAN";"2002";"61";7
"55866";1;"ALAN";"2003";"61";6
"55934";1;"ALAN";"2004";"61";3
"56116";1;"ALAN";"2007";"61";7
"56382";1;"ALAN";"2013";"61";3
"58876";1;"ALBAN";"2000";"61";4
"58939";1;"ALBAN";"2001";"61";12
"59001";1;"ALBAN";"2002";"61";8
"59060";1;"ALBAN";"2003";"61";3
"59126";1;"ALBAN";"2004";"61";3
"59265";1;"ALBAN";"2006";"61";3
"59337";1;"ALBAN";"2007";"61";10
"59485";1;"ALBAN";"2009";"61";5
"59554";1;"ALBAN";"2010";"61";6
"59619";1;"ALBAN";"2011";"61";3
"59685";1;"ALBAN";"2012";"61";4
"59756";1;"ALBAN";"2013";"61";6
"59886";1;"ALBAN";"2015";"61";4
"59946";1;"ALBAN";"2016";"61";4
"60012";1;"ALBAN";"2017";"61";3
"60074";1;"ALBAN";"2018";"61";3
"66874";1;"ALBIN";"2004";"61";3
"66957";1;"ALBIN";"2010";"61";3
"71005";1;"ALEX";"2000";"61";5
"71092";1;"ALEX";"2001";"61";9
"71179";1;"ALEX";"2002";"61";9
"71258";1;"ALEX";"2003";"61";6
"71331";1;"ALEX";"2004";"61";6
"71403";1;"ALEX";"2005";"61";6
"71537";1;"ALEX";"2007";"61";5
"71595";1;"ALEX";"2008";"61";6
"71656";1;"ALEX";"2009";"61";3
"71988";1;"ALEX";"2015";"61";3
"72163";1;"ALEX";"2019";"61";4
"79069";1;"ALEXANDRE";"2000";"61";27
"79167";1;"ALEXANDRE";"2001";"61";26
"79265";1;"ALEXANDRE";"2002";"61";20
"79364";1;"ALEXANDRE";"2003";"61";14
"79463";1;"ALEXANDRE";"2004";"61";20
"79560";1;"ALEXANDRE";"2005";"61";15
"79656";1;"ALEXANDRE";"2006";"61";10
"79753";1;"ALEXANDRE";"2007";"61";12
"79846";1;"ALEXANDRE";"2008";"61";7
"79938";1;"ALEXANDRE";"2009";"61";7
"80035";1;"ALEXANDRE";"2010";"61";13
"80127";1;"ALEXANDRE";"2011";"61";3
"80215";1;"ALEXANDRE";"2012";"61";4
"80303";1;"ALEXANDRE";"2013";"61";5
"80380";1;"ALEXANDRE";"2014";"61";4
"80463";1;"ALEXANDRE";"2015";"61";4
"80773";1;"ALEXANDRE";"2019";"61";3
"80843";1;"ALEXANDRE";"2020";"61";3
"81069";1;"ALEXI";"2008";"61";3
"85704";1;"ALEXIS";"2000";"61";40
"85803";1;"ALEXIS";"2001";"61";41
"85901";1;"ALEXIS";"2002";"61";29
"85998";1;"ALEXIS";"2003";"61";32
"86095";1;"ALEXIS";"2004";"61";27
"86193";1;"ALEXIS";"2005";"61";32
"86290";1;"ALEXIS";"2006";"61";14
"86385";1;"ALEXIS";"2007";"61";17
"86482";1;"ALEXIS";"2008";"61";16
"86577";1;"ALEXIS";"2009";"61";17
"86670";1;"ALEXIS";"2010";"61";6
"86765";1;"ALEXIS";"2011";"61";7
"86859";1;"ALEXIS";"2012";"61";6
"86950";1;"ALEXIS";"2013";"61";5
"87040";1;"ALEXIS";"2014";"61";6
"87124";1;"ALEXIS";"2015";"61";8
"87210";1;"ALEXIS";"2016";"61";6
"87290";1;"ALEXIS";"2017";"61";4
"87497";1;"ALEXIS";"2020";"61";4
"87716";1;"ALEXY";"2000";"61";4
"94035";1;"ALI";"2008";"61";3
"94127";1;"ALI";"2010";"61";3
"94220";1;"ALI";"2012";"61";3
"94262";1;"ALI";"2013";"61";3
"94514";1;"ALI";"2018";"61";3
"95419";1;"ALIX";"2005";"61";3
"95450";1;"ALIX";"2006";"61";3
"95677";1;"ALIX";"2014";"61";3
"97182";1;"ALLAN";"2000";"61";3
"97256";1;"ALLAN";"2001";"61";3
"97327";1;"ALLAN";"2002";"61";6
"97391";1;"ALLAN";"2003";"61";4
"97526";1;"ALLAN";"2005";"61";3
"97582";1;"ALLAN";"2006";"61";3
"98243";1;"ALOIS";"2004";"61";3
"98392";1;"ALOIS";"2009";"61";4
"98524";1;"ALOÏS";"2012";"61";4
"98590";1;"ALOÏS";"2014";"61";4
"98651";1;"ALOÏS";"2016";"61";4
"98683";1;"ALOÏS";"2017";"61";3
"102783";1;"ALVIN";"2004";"61";3
"103410";1;"AMAËL";"2015";"61";3
"105582";1;"AMAURY";"2000";"61";3
"105685";1;"AMAURY";"2002";"61";3
"105786";1;"AMAURY";"2004";"61";4
"106002";1;"AMAURY";"2008";"61";3
"106138";1;"AMAURY";"2010";"61";5
"106208";1;"AMAURY";"2011";"61";4
"106269";1;"AMAURY";"2012";"61";4
"106331";1;"AMAURY";"2013";"61";5
"106393";1;"AMAURY";"2014";"61";3
"106459";1;"AMAURY";"2015";"61";4
"106516";1;"AMAURY";"2016";"61";3
"106573";1;"AMAURY";"2017";"61";4
"106733";1;"AMAURY";"2020";"61";5
"109743";1;"AMINE";"2002";"61";3
"109975";1;"AMINE";"2006";"61";5
"110776";1;"AMINE";"2019";"61";3
"111588";1;"AMIR";"2016";"61";5
"111724";1;"AMIR";"2018";"61";4
"111798";1;"AMIR";"2019";"61";5
"111871";1;"AMIR";"2020";"61";3
"112301";1;"ANAËL";"2014";"61";3
"114150";1;"ANATOLE";"2008";"61";5
"114190";1;"ANATOLE";"2009";"61";3
"114536";1;"ANATOLE";"2018";"61";3
"124041";1;"ANDREAS";"2009";"61";3
"125881";1;"ANDY";"2006";"61";3
"125925";1;"ANDY";"2007";"61";4
"126062";1;"ANDY";"2010";"61";3
"130366";1;"ANGELO";"2011";"61";4
"135847";1;"ANTHONY";"2000";"61";11
"135945";1;"ANTHONY";"2001";"61";12
"136041";1;"ANTHONY";"2002";"61";5
"136133";1;"ANTHONY";"2003";"61";12
"136226";1;"ANTHONY";"2004";"61";6
"136317";1;"ANTHONY";"2005";"61";3
"136408";1;"ANTHONY";"2006";"61";4
"136489";1;"ANTHONY";"2007";"61";8
"145043";1;"ANTOINE";"2000";"61";37
"145140";1;"ANTOINE";"2001";"61";34
"145238";1;"ANTOINE";"2002";"61";24
"145336";1;"ANTOINE";"2003";"61";30
"145432";1;"ANTOINE";"2004";"61";30
"145527";1;"ANTOINE";"2005";"61";16
"145624";1;"ANTOINE";"2006";"61";13
"145718";1;"ANTOINE";"2007";"61";21
"145815";1;"ANTOINE";"2008";"61";15
"145912";1;"ANTOINE";"2009";"61";8
"146005";1;"ANTOINE";"2010";"61";12
"146099";1;"ANTOINE";"2011";"61";9
"146191";1;"ANTOINE";"2012";"61";6
"146285";1;"ANTOINE";"2013";"61";7
"146381";1;"ANTOINE";"2014";"61";5
"146468";1;"ANTOINE";"2015";"61";4
"146559";1;"ANTOINE";"2016";"61";10
"146650";1;"ANTOINE";"2017";"61";6
"146743";1;"ANTOINE";"2018";"61";3
"146827";1;"ANTOINE";"2019";"61";3
"146917";1;"ANTOINE";"2020";"61";4
"147344";1;"ANTON";"2015";"61";3
"149701";1;"ANTONIN";"2000";"61";9
"149787";1;"ANTONIN";"2001";"61";18
"149873";1;"ANTONIN";"2002";"61";15
"149960";1;"ANTONIN";"2003";"61";9
"150045";1;"ANTONIN";"2004";"61";12
"150127";1;"ANTONIN";"2005";"61";11
"150213";1;"ANTONIN";"2006";"61";10
"150299";1;"ANTONIN";"2007";"61";16
"150382";1;"ANTONIN";"2008";"61";8
"150467";1;"ANTONIN";"2009";"61";3
"150546";1;"ANTONIN";"2010";"61";6
"150628";1;"ANTONIN";"2011";"61";8
"150705";1;"ANTONIN";"2012";"61";6
"150780";1;"ANTONIN";"2013";"61";6
"150865";1;"ANTONIN";"2014";"61";3
"150948";1;"ANTONIN";"2015";"61";8
"151026";1;"ANTONIN";"2016";"61";3
"151106";1;"ANTONIN";"2017";"61";6
"151181";1;"ANTONIN";"2018";"61";7
"151254";1;"ANTONIN";"2019";"61";3
"151323";1;"ANTONIN";"2020";"61";5
"155955";1;"ARDA";"2006";"61";3
"155998";1;"ARDA";"2008";"61";4
"156055";1;"ARDA";"2011";"61";3
"162648";1;"ARMAND";"2000";"61";3
"162691";1;"ARMAND";"2001";"61";5
"162739";1;"ARMAND";"2002";"61";4
"162789";1;"ARMAND";"2003";"61";3
"162829";1;"ARMAND";"2004";"61";6
"162924";1;"ARMAND";"2006";"61";3
"162979";1;"ARMAND";"2007";"61";6
"163030";1;"ARMAND";"2008";"61";5
"163130";1;"ARMAND";"2010";"61";3
"163323";1;"ARMAND";"2014";"61";5
"163370";1;"ARMAND";"2015";"61";5
"163430";1;"ARMAND";"2016";"61";4
"163481";1;"ARMAND";"2017";"61";4
"163531";1;"ARMAND";"2018";"61";6
"163582";1;"ARMAND";"2019";"61";3
"163637";1;"ARMAND";"2020";"61";6
"168306";1;"ARNAUD";"2001";"61";10
"168527";1;"ARNAUD";"2004";"61";3
"171631";1;"ARSÈNE";"2012";"61";3
"171739";1;"ARSÈNE";"2015";"61";4
"171826";1;"ARSÈNE";"2017";"61";3
"171922";1;"ARSÈNE";"2019";"61";4
"171974";1;"ARSÈNE";"2020";"61";4
"175239";1;"ARTHUR";"2000";"61";24
"175336";1;"ARTHUR";"2001";"61";23
"175431";1;"ARTHUR";"2002";"61";17
"175527";1;"ARTHUR";"2003";"61";25
"175623";1;"ARTHUR";"2004";"61";12
"175717";1;"ARTHUR";"2005";"61";13
"175815";1;"ARTHUR";"2006";"61";15
"175911";1;"ARTHUR";"2007";"61";16
"176008";1;"ARTHUR";"2008";"61";15
"176105";1;"ARTHUR";"2009";"61";16
"176203";1;"ARTHUR";"2010";"61";17
"176299";1;"ARTHUR";"2011";"61";14
"176396";1;"ARTHUR";"2012";"61";12
"176494";1;"ARTHUR";"2013";"61";22
"176592";1;"ARTHUR";"2014";"61";17
"176687";1;"ARTHUR";"2015";"61";20
"176783";1;"ARTHUR";"2016";"61";20
"176879";1;"ARTHUR";"2017";"61";16
"176977";1;"ARTHUR";"2018";"61";16
"177073";1;"ARTHUR";"2019";"61";23
"177170";1;"ARTHUR";"2020";"61";15
"178453";1;"AUBIN";"2006";"61";3
"178549";1;"AUBIN";"2009";"61";3
"178748";1;"AUBIN";"2015";"61";3
"178930";1;"AUBIN";"2020";"61";3
"183134";1;"AUGUSTE";"2014";"61";4
"183373";1;"AUGUSTE";"2019";"61";3
"183435";1;"AUGUSTE";"2020";"61";3
"185757";1;"AUGUSTIN";"2000";"61";4
"185857";1;"AUGUSTIN";"2002";"61";5
"185969";1;"AUGUSTIN";"2004";"61";5
"186078";1;"AUGUSTIN";"2006";"61";8
"186147";1;"AUGUSTIN";"2007";"61";3
"186286";1;"AUGUSTIN";"2009";"61";5
"186354";1;"AUGUSTIN";"2010";"61";10
"186423";1;"AUGUSTIN";"2011";"61";3
"186491";1;"AUGUSTIN";"2012";"61";7
"186567";1;"AUGUSTIN";"2013";"61";7
"186642";1;"AUGUSTIN";"2014";"61";6
