"";"sexe";"preusuel";"annais";"dpt";"nombre"
"8833";1;"_PRENOMS_RARES";"2000";"28";52
"8932";1;"_PRENOMS_RARES";"2001";"28";76
"9030";1;"_PRENOMS_RARES";"2002";"28";58
"9129";1;"_PRENOMS_RARES";"2003";"28";83
"9227";1;"_PRENOMS_RARES";"2004";"28";60
"9326";1;"_PRENOMS_RARES";"2005";"28";83
"9425";1;"_PRENOMS_RARES";"2006";"28";94
"9524";1;"_PRENOMS_RARES";"2007";"28";94
"9623";1;"_PRENOMS_RARES";"2008";"28";76
"9721";1;"_PRENOMS_RARES";"2009";"28";93
"9820";1;"_PRENOMS_RARES";"2010";"28";105
"9919";1;"_PRENOMS_RARES";"2011";"28";100
"10018";1;"_PRENOMS_RARES";"2012";"28";110
"10117";1;"_PRENOMS_RARES";"2013";"28";99
"10216";1;"_PRENOMS_RARES";"2014";"28";111
"10315";1;"_PRENOMS_RARES";"2015";"28";95
"10414";1;"_PRENOMS_RARES";"2016";"28";117
"10513";1;"_PRENOMS_RARES";"2017";"28";109
"10612";1;"_PRENOMS_RARES";"2018";"28";113
"10711";1;"_PRENOMS_RARES";"2019";"28";115
"10810";1;"_PRENOMS_RARES";"2020";"28";108
"11085";1;"AARON";"2006";"28";4
"11151";1;"AARON";"2007";"28";3
"11233";1;"AARON";"2008";"28";5
"11318";1;"AARON";"2009";"28";11
"11403";1;"AARON";"2010";"28";18
"11487";1;"AARON";"2011";"28";16
"11576";1;"AARON";"2012";"28";12
"11665";1;"AARON";"2013";"28";21
"11758";1;"AARON";"2014";"28";16
"11850";1;"AARON";"2015";"28";13
"11944";1;"AARON";"2016";"28";15
"12037";1;"AARON";"2017";"28";19
"12132";1;"AARON";"2018";"28";18
"12223";1;"AARON";"2019";"28";14
"12319";1;"AARON";"2020";"28";15
"12977";1;"ABDALLAH";"2009";"28";3
"13018";1;"ABDALLAH";"2011";"28";4
"13036";1;"ABDALLAH";"2012";"28";3
"13056";1;"ABDALLAH";"2013";"28";3
"13230";1;"ABDALLAH";"2020";"28";4
"16273";1;"ABDELLAH";"2011";"28";3
"20446";1;"ABEL";"2001";"28";3
"20556";1;"ABEL";"2007";"28";3
"20593";1;"ABEL";"2008";"28";6
"20659";1;"ABEL";"2010";"28";4
"20739";1;"ABEL";"2012";"28";4
"20945";1;"ABEL";"2016";"28";3
"21005";1;"ABEL";"2017";"28";6
"21182";1;"ABEL";"2020";"28";3
"22814";1;"ACHILLE";"2005";"28";4
"23002";1;"ACHILLE";"2010";"28";4
"23441";1;"ACHILLE";"2020";"28";3
"24328";1;"ADAM";"2000";"28";5
"24391";1;"ADAM";"2001";"28";3
"24450";1;"ADAM";"2002";"28";5
"24523";1;"ADAM";"2003";"28";5
"24598";1;"ADAM";"2004";"28";9
"24674";1;"ADAM";"2005";"28";6
"24755";1;"ADAM";"2006";"28";15
"24839";1;"ADAM";"2007";"28";13
"24928";1;"ADAM";"2008";"28";17
"25017";1;"ADAM";"2009";"28";20
"25107";1;"ADAM";"2010";"28";23
"25197";1;"ADAM";"2011";"28";14
"25291";1;"ADAM";"2012";"28";16
"25379";1;"ADAM";"2013";"28";27
"25472";1;"ADAM";"2014";"28";26
"25565";1;"ADAM";"2015";"28";36
"25661";1;"ADAM";"2016";"28";33
"25751";1;"ADAM";"2017";"28";23
"25841";1;"ADAM";"2018";"28";14
"25932";1;"ADAM";"2019";"28";10
"26026";1;"ADAM";"2020";"28";15
"26364";1;"ADAMA";"2020";"28";3
"27181";1;"ADEL";"2003";"28";4
"27404";1;"ADEL";"2012";"28";3
"27456";1;"ADEL";"2014";"28";5
"27485";1;"ADEL";"2015";"28";3
"27973";1;"ADEM";"2007";"28";3
"28006";1;"ADEM";"2008";"28";3
"28043";1;"ADEM";"2009";"28";3
"28163";1;"ADEM";"2012";"28";6
"28212";1;"ADEM";"2013";"28";7
"28257";1;"ADEM";"2014";"28";7
"28306";1;"ADEM";"2015";"28";6
"28357";1;"ADEM";"2016";"28";4
"28407";1;"ADEM";"2017";"28";8
"28515";1;"ADEM";"2019";"28";5
"28571";1;"ADEM";"2020";"28";3
"29257";1;"ADIL";"2010";"28";3
