"";"sexe";"preusuel";"annais";"dpt";"nombre"
"8856";1;"_PRENOMS_RARES";"2000";"51";69
"8954";1;"_PRENOMS_RARES";"2001";"51";79
"9053";1;"_PRENOMS_RARES";"2002";"51";77
"9151";1;"_PRENOMS_RARES";"2003";"51";80
"9250";1;"_PRENOMS_RARES";"2004";"51";97
"9349";1;"_PRENOMS_RARES";"2005";"51";101
"9448";1;"_PRENOMS_RARES";"2006";"51";102
"9547";1;"_PRENOMS_RARES";"2007";"51";105
"9645";1;"_PRENOMS_RARES";"2008";"51";109
"9744";1;"_PRENOMS_RARES";"2009";"51";102
"9843";1;"_PRENOMS_RARES";"2010";"51";114
"9942";1;"_PRENOMS_RARES";"2011";"51";143
"10041";1;"_PRENOMS_RARES";"2012";"51";161
"10140";1;"_PRENOMS_RARES";"2013";"51";167
"10239";1;"_PRENOMS_RARES";"2014";"51";183
"10338";1;"_PRENOMS_RARES";"2015";"51";178
"10437";1;"_PRENOMS_RARES";"2016";"51";173
"10536";1;"_PRENOMS_RARES";"2017";"51";184
"10635";1;"_PRENOMS_RARES";"2018";"51";207
"10734";1;"_PRENOMS_RARES";"2019";"51";200
"10833";1;"_PRENOMS_RARES";"2020";"51";187
"11043";1;"AARON";"2005";"51";6
"11098";1;"AARON";"2006";"51";6
"11168";1;"AARON";"2007";"51";6
"11251";1;"AARON";"2008";"51";12
"11337";1;"AARON";"2009";"51";14
"11421";1;"AARON";"2010";"51";19
"11506";1;"AARON";"2011";"51";30
"11596";1;"AARON";"2012";"51";17
"11686";1;"AARON";"2013";"51";19
"11777";1;"AARON";"2014";"51";19
"11870";1;"AARON";"2015";"51";22
"11964";1;"AARON";"2016";"51";21
"12058";1;"AARON";"2017";"51";18
"12150";1;"AARON";"2018";"51";17
"12244";1;"AARON";"2019";"51";15
"12341";1;"AARON";"2020";"51";21
"13214";1;"ABDALLAH";"2019";"51";3
"13235";1;"ABDALLAH";"2020";"51";3
"15544";1;"ABDELKADER";"2003";"51";3
"17888";1;"ABDOULAYE";"2020";"51";3
"20565";1;"ABEL";"2007";"51";6
"20600";1;"ABEL";"2008";"51";5
"20630";1;"ABEL";"2009";"51";5
"20800";1;"ABEL";"2013";"51";3
"21019";1;"ABEL";"2017";"51";5
"21077";1;"ABEL";"2018";"51";4
"21194";1;"ABEL";"2020";"51";6
"21497";1;"ABOUBACAR";"2019";"51";4
"21509";1;"ABOUBACAR";"2020";"51";3
"22743";1;"ACHILLE";"2001";"51";3
"22935";1;"ACHILLE";"2008";"51";4
"23014";1;"ACHILLE";"2010";"51";4
"23061";1;"ACHILLE";"2011";"51";5
"23101";1;"ACHILLE";"2012";"51";7
"23144";1;"ACHILLE";"2013";"51";4
"23183";1;"ACHILLE";"2014";"51";3
"23268";1;"ACHILLE";"2016";"51";4
"23309";1;"ACHILLE";"2017";"51";3
"23359";1;"ACHILLE";"2018";"51";5
"23453";1;"ACHILLE";"2020";"51";6
"24344";1;"ADAM";"2000";"51";3
"24405";1;"ADAM";"2001";"51";12
"24466";1;"ADAM";"2002";"51";5
"24539";1;"ADAM";"2003";"51";6
"24614";1;"ADAM";"2004";"51";10
"24690";1;"ADAM";"2005";"51";17
"24772";1;"ADAM";"2006";"51";14
"24859";1;"ADAM";"2007";"51";18
"24948";1;"ADAM";"2008";"51";18
"25037";1;"ADAM";"2009";"51";34
"25127";1;"ADAM";"2010";"51";20
"25218";1;"ADAM";"2011";"51";31
"25309";1;"ADAM";"2012";"51";24
"25401";1;"ADAM";"2013";"51";34
"25494";1;"ADAM";"2014";"51";29
"25586";1;"ADAM";"2015";"51";42
"25681";1;"ADAM";"2016";"51";32
"25771";1;"ADAM";"2017";"51";32
"25860";1;"ADAM";"2018";"51";37
"25954";1;"ADAM";"2019";"51";34
"26047";1;"ADAM";"2020";"51";29
"26507";1;"ADAME";"2013";"51";3
"27521";1;"ADEL";"2016";"51";3
"27549";1;"ADEL";"2017";"51";3
"27573";1;"ADEL";"2018";"51";4
"27630";1;"ADEL";"2020";"51";5
