"";"sexe";"preusuel";"annais";"dpt";"nombre"
"8860";1;"_PRENOMS_RARES";"2000";"55";11
"8958";1;"_PRENOMS_RARES";"2001";"55";14
"9057";1;"_PRENOMS_RARES";"2002";"55";17
"9155";1;"_PRENOMS_RARES";"2003";"55";9
"9254";1;"_PRENOMS_RARES";"2004";"55";14
"9353";1;"_PRENOMS_RARES";"2005";"55";21
"9452";1;"_PRENOMS_RARES";"2006";"55";22
"9551";1;"_PRENOMS_RARES";"2007";"55";22
"9649";1;"_PRENOMS_RARES";"2008";"55";23
"9748";1;"_PRENOMS_RARES";"2009";"55";17
"9847";1;"_PRENOMS_RARES";"2010";"55";24
"9946";1;"_PRENOMS_RARES";"2011";"55";15
"10045";1;"_PRENOMS_RARES";"2012";"55";27
"10144";1;"_PRENOMS_RARES";"2013";"55";21
"10243";1;"_PRENOMS_RARES";"2014";"55";21
"10342";1;"_PRENOMS_RARES";"2015";"55";34
"10441";1;"_PRENOMS_RARES";"2016";"55";27
"10540";1;"_PRENOMS_RARES";"2017";"55";30
"10639";1;"_PRENOMS_RARES";"2018";"55";28
"10738";1;"_PRENOMS_RARES";"2019";"55";19
"10837";1;"_PRENOMS_RARES";"2020";"55";19
"11254";1;"AARON";"2008";"55";6
"11341";1;"AARON";"2009";"55";3
"11425";1;"AARON";"2010";"55";3
"11510";1;"AARON";"2011";"55";3
"11599";1;"AARON";"2012";"55";6
"11690";1;"AARON";"2013";"55";7
"11781";1;"AARON";"2014";"55";3
"11874";1;"AARON";"2015";"55";4
"11968";1;"AARON";"2016";"55";6
"12062";1;"AARON";"2017";"55";9
"12154";1;"AARON";"2018";"55";5
"12345";1;"AARON";"2020";"55";4
"20908";1;"ABEL";"2015";"55";4
"21021";1;"ABEL";"2017";"55";3
"22856";1;"ACHILLE";"2006";"55";3
"24775";1;"ADAM";"2006";"55";4
"24862";1;"ADAM";"2007";"55";8
"24952";1;"ADAM";"2008";"55";4
"25221";1;"ADAM";"2011";"55";4
"25312";1;"ADAM";"2012";"55";5
"25405";1;"ADAM";"2013";"55";6
"25590";1;"ADAM";"2015";"55";3
"25685";1;"ADAM";"2016";"55";3
"25774";1;"ADAM";"2017";"55";8
"25958";1;"ADAM";"2019";"55";4
"37887";1;"ADRIEN";"2000";"55";8
"37985";1;"ADRIEN";"2001";"55";9
"38083";1;"ADRIEN";"2002";"55";6
"38276";1;"ADRIEN";"2004";"55";4
"38372";1;"ADRIEN";"2005";"55";4
"38465";1;"ADRIEN";"2006";"55";4
"38650";1;"ADRIEN";"2008";"55";3
"38741";1;"ADRIEN";"2009";"55";3
"38999";1;"ADRIEN";"2012";"55";4
"39082";1;"ADRIEN";"2013";"55";4
"39241";1;"ADRIEN";"2015";"55";5
"39460";1;"ADRIEN";"2018";"55";3
"55643";1;"ALAN";"2000";"55";4
"55722";1;"ALAN";"2001";"55";3
"55792";1;"ALAN";"2002";"55";6
