"";"sexe";"preusuel";"annais";"dpt";"nombre"
"8875";1;"_PRENOMS_RARES";"2000";"70";11
"8973";1;"_PRENOMS_RARES";"2001";"70";13
"9072";1;"_PRENOMS_RARES";"2002";"70";14
"9170";1;"_PRENOMS_RARES";"2003";"70";16
"9269";1;"_PRENOMS_RARES";"2004";"70";17
"9368";1;"_PRENOMS_RARES";"2005";"70";11
"9467";1;"_PRENOMS_RARES";"2006";"70";16
"9566";1;"_PRENOMS_RARES";"2007";"70";14
"9664";1;"_PRENOMS_RARES";"2008";"70";23
"9763";1;"_PRENOMS_RARES";"2009";"70";15
"9862";1;"_PRENOMS_RARES";"2010";"70";15
"9961";1;"_PRENOMS_RARES";"2011";"70";12
"10060";1;"_PRENOMS_RARES";"2012";"70";30
"10159";1;"_PRENOMS_RARES";"2013";"70";19
"10258";1;"_PRENOMS_RARES";"2014";"70";17
"10357";1;"_PRENOMS_RARES";"2015";"70";17
"10456";1;"_PRENOMS_RARES";"2016";"70";25
"10555";1;"_PRENOMS_RARES";"2017";"70";24
"10654";1;"_PRENOMS_RARES";"2018";"70";27
"10753";1;"_PRENOMS_RARES";"2019";"70";21
"10852";1;"_PRENOMS_RARES";"2020";"70";27
"11268";1;"AARON";"2008";"70";3
"11525";1;"AARON";"2011";"70";3
"11795";1;"AARON";"2014";"70";3
"11889";1;"AARON";"2015";"70";3
"11983";1;"AARON";"2016";"70";5
"12077";1;"AARON";"2017";"70";3
"12169";1;"AARON";"2018";"70";6
"12262";1;"AARON";"2019";"70";3
"12360";1;"AARON";"2020";"70";4
"24628";1;"ADAM";"2004";"70";3
"24967";1;"ADAM";"2008";"70";6
"25055";1;"ADAM";"2009";"70";6
"25144";1;"ADAM";"2010";"70";7
"25236";1;"ADAM";"2011";"70";3
"25327";1;"ADAM";"2012";"70";4
"25419";1;"ADAM";"2013";"70";3
"25512";1;"ADAM";"2014";"70";5
"25605";1;"ADAM";"2015";"70";3
"25700";1;"ADAM";"2016";"70";5
"25789";1;"ADAM";"2017";"70";4
"25878";1;"ADAM";"2018";"70";4
"37902";1;"ADRIEN";"2000";"70";9
"38000";1;"ADRIEN";"2001";"70";6
"38098";1;"ADRIEN";"2002";"70";7
"38194";1;"ADRIEN";"2003";"70";3
"38387";1;"ADRIEN";"2005";"70";4
"38480";1;"ADRIEN";"2006";"70";7
"38571";1;"ADRIEN";"2007";"70";4
"38665";1;"ADRIEN";"2008";"70";6
"38926";1;"ADRIEN";"2011";"70";3
"39328";1;"ADRIEN";"2016";"70";3
"55657";1;"ALAN";"2000";"70";4
"55734";1;"ALAN";"2001";"70";3
"55806";1;"ALAN";"2002";"70";5
"69011";1;"ALESSIO";"2017";"70";3
"71101";1;"ALEX";"2001";"70";3
"71479";1;"ALEX";"2006";"70";3
"71665";1;"ALEX";"2009";"70";3
"79078";1;"ALEXANDRE";"2000";"70";13
"79176";1;"ALEXANDRE";"2001";"70";7
"79274";1;"ALEXANDRE";"2002";"70";3
"79373";1;"ALEXANDRE";"2003";"70";11
"79472";1;"ALEXANDRE";"2004";"70";6
"79569";1;"ALEXANDRE";"2005";"70";5
"79665";1;"ALEXANDRE";"2006";"70";7
"79762";1;"ALEXANDRE";"2007";"70";3
"79947";1;"ALEXANDRE";"2009";"70";3
"80224";1;"ALEXANDRE";"2012";"70";3
"81033";1;"ALEXI";"2005";"70";3
"85713";1;"ALEXIS";"2000";"70";17
"85812";1;"ALEXIS";"2001";"70";17
"85910";1;"ALEXIS";"2002";"70";10
"86007";1;"ALEXIS";"2003";"70";11
"86104";1;"ALEXIS";"2004";"70";6
"86202";1;"ALEXIS";"2005";"70";10
"86299";1;"ALEXIS";"2006";"70";5
"86394";1;"ALEXIS";"2007";"70";8
"86491";1;"ALEXIS";"2008";"70";7
"86586";1;"ALEXIS";"2009";"70";6
"86679";1;"ALEXIS";"2010";"70";6
"86774";1;"ALEXIS";"2011";"70";3
"86868";1;"ALEXIS";"2012";"70";4
"86959";1;"ALEXIS";"2013";"70";4
"87049";1;"ALEXIS";"2014";"70";5
"87133";1;"ALEXIS";"2015";"70";3
"87219";1;"ALEXIS";"2016";"70";3
"87299";1;"ALEXIS";"2017";"70";3
"87504";1;"ALEXIS";"2020";"70";5
"94226";1;"ALI";"2012";"70";3
"94267";1;"ALI";"2013";"70";3
"95315";1;"ALIX";"2002";"70";3
"95489";1;"ALIX";"2007";"70";5
"97190";1;"ALLAN";"2000";"70";4
"97262";1;"ALLAN";"2001";"70";4
"97333";1;"ALLAN";"2002";"70";3
"106073";1;"AMAURY";"2009";"70";3
"106215";1;"AMAURY";"2011";"70";3
"109851";1;"AMINE";"2004";"70";3
"110119";1;"AMINE";"2008";"70";4
"110438";1;"AMINE";"2013";"70";4
"114154";1;"ANATOLE";"2008";"70";3
"114499";1;"ANATOLE";"2017";"70";3
"135856";1;"ANTHONY";"2000";"70";8
"135954";1;"ANTHONY";"2001";"70";7
"136050";1;"ANTHONY";"2002";"70";9
"136142";1;"ANTHONY";"2003";"70";4
"145052";1;"ANTOINE";"2000";"70";17
"145149";1;"ANTOINE";"2001";"70";8
"145247";1;"ANTOINE";"2002";"70";10
"145345";1;"ANTOINE";"2003";"70";9
"145441";1;"ANTOINE";"2004";"70";7
"145536";1;"ANTOINE";"2005";"70";7
"145633";1;"ANTOINE";"2006";"70";9
"145727";1;"ANTOINE";"2007";"70";6
"145824";1;"ANTOINE";"2008";"70";5
"146014";1;"ANTOINE";"2010";"70";3
"146108";1;"ANTOINE";"2011";"70";4
"146200";1;"ANTOINE";"2012";"70";4
"146294";1;"ANTOINE";"2013";"70";6
"146477";1;"ANTOINE";"2015";"70";5
"146568";1;"ANTOINE";"2016";"70";5
"146659";1;"ANTOINE";"2017";"70";3
"146835";1;"ANTOINE";"2019";"70";4
"146926";1;"ANTOINE";"2020";"70";7
"149709";1;"ANTONIN";"2000";"70";3
"149882";1;"ANTONIN";"2002";"70";3
"149967";1;"ANTONIN";"2003";"70";5
"150390";1;"ANTONIN";"2008";"70";3
"150475";1;"ANTONIN";"2009";"70";3
"150636";1;"ANTONIN";"2011";"70";4
"150789";1;"ANTONIN";"2013";"70";3
"151034";1;"ANTONIN";"2016";"70";3
"151330";1;"ANTONIN";"2020";"70";3
"168315";1;"ARNAUD";"2001";"70";4
"175248";1;"ARTHUR";"2000";"70";5
"175345";1;"ARTHUR";"2001";"70";7
"175440";1;"ARTHUR";"2002";"70";10
"175536";1;"ARTHUR";"2003";"70";7
"175631";1;"ARTHUR";"2004";"70";5
"175726";1;"ARTHUR";"2005";"70";4
"175920";1;"ARTHUR";"2007";"70";11
"176017";1;"ARTHUR";"2008";"70";6
"176114";1;"ARTHUR";"2009";"70";10
"176212";1;"ARTHUR";"2010";"70";7
"176308";1;"ARTHUR";"2011";"70";8
"176405";1;"ARTHUR";"2012";"70";3
"176503";1;"ARTHUR";"2013";"70";7
"176696";1;"ARTHUR";"2015";"70";5
"176792";1;"ARTHUR";"2016";"70";7
"176888";1;"ARTHUR";"2017";"70";10
"176986";1;"ARTHUR";"2018";"70";6
"177082";1;"ARTHUR";"2019";"70";9
"177179";1;"ARTHUR";"2020";"70";4
"186574";1;"AUGUSTIN";"2013";"70";3
"186725";1;"AUGUSTIN";"2015";"70";4
