"";"sexe";"preusuel";"annais";"dpt";"nombre"
"8858";1;"_PRENOMS_RARES";"2000";"53";31
"8956";1;"_PRENOMS_RARES";"2001";"53";30
"9055";1;"_PRENOMS_RARES";"2002";"53";25
"9153";1;"_PRENOMS_RARES";"2003";"53";31
"9252";1;"_PRENOMS_RARES";"2004";"53";37
"9351";1;"_PRENOMS_RARES";"2005";"53";48
"9450";1;"_PRENOMS_RARES";"2006";"53";39
"9549";1;"_PRENOMS_RARES";"2007";"53";45
"9647";1;"_PRENOMS_RARES";"2008";"53";52
"9746";1;"_PRENOMS_RARES";"2009";"53";41
"9845";1;"_PRENOMS_RARES";"2010";"53";45
"9944";1;"_PRENOMS_RARES";"2011";"53";63
"10043";1;"_PRENOMS_RARES";"2012";"53";82
"10142";1;"_PRENOMS_RARES";"2013";"53";63
"10241";1;"_PRENOMS_RARES";"2014";"53";60
"10340";1;"_PRENOMS_RARES";"2015";"53";57
"10439";1;"_PRENOMS_RARES";"2016";"53";58
"10538";1;"_PRENOMS_RARES";"2017";"53";74
"10637";1;"_PRENOMS_RARES";"2018";"53";54
"10736";1;"_PRENOMS_RARES";"2019";"53";66
"10835";1;"_PRENOMS_RARES";"2020";"53";84
"11044";1;"AARON";"2005";"53";3
"11099";1;"AARON";"2006";"53";3
"11169";1;"AARON";"2007";"53";5
"11252";1;"AARON";"2008";"53";3
"11339";1;"AARON";"2009";"53";4
"11423";1;"AARON";"2010";"53";5
"11508";1;"AARON";"2011";"53";9
"11597";1;"AARON";"2012";"53";4
"11688";1;"AARON";"2013";"53";5
"11779";1;"AARON";"2014";"53";11
"11872";1;"AARON";"2015";"53";7
"11966";1;"AARON";"2016";"53";7
"12060";1;"AARON";"2017";"53";7
"12152";1;"AARON";"2018";"53";9
"12246";1;"AARON";"2019";"53";9
"12343";1;"AARON";"2020";"53";7
"17861";1;"ABDOULAYE";"2018";"53";5
"20708";1;"ABEL";"2011";"53";6
"20906";1;"ABEL";"2015";"53";4
"21078";1;"ABEL";"2018";"53";3
"21134";1;"ABEL";"2019";"53";6
"23184";1;"ACHILLE";"2014";"53";3
"23360";1;"ACHILLE";"2018";"53";3
"23454";1;"ACHILLE";"2020";"53";4
"24345";1;"ADAM";"2000";"53";3
"24468";1;"ADAM";"2002";"53";3
"24541";1;"ADAM";"2003";"53";4
"24615";1;"ADAM";"2004";"53";4
"24692";1;"ADAM";"2005";"53";5
"24773";1;"ADAM";"2006";"53";6
"24860";1;"ADAM";"2007";"53";4
"24950";1;"ADAM";"2008";"53";8
"25039";1;"ADAM";"2009";"53";8
"25129";1;"ADAM";"2010";"53";9
"25310";1;"ADAM";"2012";"53";7
"25403";1;"ADAM";"2013";"53";7
"25496";1;"ADAM";"2014";"53";7
"25588";1;"ADAM";"2015";"53";6
"25683";1;"ADAM";"2016";"53";10
"25772";1;"ADAM";"2017";"53";4
"25862";1;"ADAM";"2018";"53";5
"25956";1;"ADAM";"2019";"53";8
"26049";1;"ADAM";"2020";"53";5
"28373";1;"ADEM";"2016";"53";5
"28477";1;"ADEM";"2018";"53";3
"28585";1;"ADEM";"2020";"53";4
"37885";1;"ADRIEN";"2000";"53";21
"37983";1;"ADRIEN";"2001";"53";19
"38081";1;"ADRIEN";"2002";"53";13
"38178";1;"ADRIEN";"2003";"53";14
"38274";1;"ADRIEN";"2004";"53";13
"38370";1;"ADRIEN";"2005";"53";6
"38463";1;"ADRIEN";"2006";"53";10
"38555";1;"ADRIEN";"2007";"53";5
"38648";1;"ADRIEN";"2008";"53";5
"38739";1;"ADRIEN";"2009";"53";5
"38827";1;"ADRIEN";"2010";"53";3
"38911";1;"ADRIEN";"2011";"53";3
"39080";1;"ADRIEN";"2013";"53";3
"39162";1;"ADRIEN";"2014";"53";7
"39389";1;"ADRIEN";"2017";"53";4
"39458";1;"ADRIEN";"2018";"53";5
"42559";1;"AIDAN";"2010";"53";4
"55641";1;"ALAN";"2000";"53";11
"55720";1;"ALAN";"2001";"53";5
"55790";1;"ALAN";"2002";"53";5
"55859";1;"ALAN";"2003";"53";3
"55988";1;"ALAN";"2005";"53";4
"56052";1;"ALAN";"2006";"53";4
"56111";1;"ALAN";"2007";"53";4
"56162";1;"ALAN";"2008";"53";3
"56213";1;"ALAN";"2009";"53";3
"56533";1;"ALAN";"2018";"53";4
"58870";1;"ALBAN";"2000";"53";3
"58932";1;"ALBAN";"2001";"53";7
"59054";1;"ALBAN";"2003";"53";8
"59120";1;"ALBAN";"2004";"53";12
"59187";1;"ALBAN";"2005";"53";7
"59331";1;"ALBAN";"2007";"53";6
"59403";1;"ALBAN";"2008";"53";5
"59477";1;"ALBAN";"2009";"53";4
"59547";1;"ALBAN";"2010";"53";4
"59679";1;"ALBAN";"2012";"53";5
"59750";1;"ALBAN";"2013";"53";7
"59814";1;"ALBAN";"2014";"53";5
"59880";1;"ALBAN";"2015";"53";4
"59941";1;"ALBAN";"2016";"53";3
"60007";1;"ALBAN";"2017";"53";4
"60070";1;"ALBAN";"2018";"53";3
"60131";1;"ALBAN";"2019";"53";3
"66900";1;"ALBIN";"2006";"53";5
"66912";1;"ALBIN";"2007";"53";3
"67054";1;"ALBIN";"2016";"53";3
"68041";1;"ALEC";"2020";"53";3
"68849";1;"ALESSIO";"2013";"53";3
"70997";1;"ALEX";"2000";"53";5
"71085";1;"ALEX";"2001";"53";4
"71171";1;"ALEX";"2002";"53";4
"71589";1;"ALEX";"2008";"53";3
"71649";1;"ALEX";"2009";"53";4
"71933";1;"ALEX";"2014";"53";3
"79061";1;"ALEXANDRE";"2000";"53";25
"79159";1;"ALEXANDRE";"2001";"53";34
"79257";1;"ALEXANDRE";"2002";"53";19
"79356";1;"ALEXANDRE";"2003";"53";18
"79455";1;"ALEXANDRE";"2004";"53";12
"79552";1;"ALEXANDRE";"2005";"53";12
"79648";1;"ALEXANDRE";"2006";"53";11
"79745";1;"ALEXANDRE";"2007";"53";5
"79838";1;"ALEXANDRE";"2008";"53";8
"79931";1;"ALEXANDRE";"2009";"53";9
"80027";1;"ALEXANDRE";"2010";"53";10
"80119";1;"ALEXANDRE";"2011";"53";4
"80209";1;"ALEXANDRE";"2012";"53";6
"80295";1;"ALEXANDRE";"2013";"53";4
"80456";1;"ALEXANDRE";"2015";"53";3
"80620";1;"ALEXANDRE";"2017";"53";3
"80694";1;"ALEXANDRE";"2018";"53";5
"80767";1;"ALEXANDRE";"2019";"53";5
"85696";1;"ALEXIS";"2000";"53";36
"85795";1;"ALEXIS";"2001";"53";44
"85893";1;"ALEXIS";"2002";"53";28
"85990";1;"ALEXIS";"2003";"53";38
"86087";1;"ALEXIS";"2004";"53";22
"86185";1;"ALEXIS";"2005";"53";26
"86282";1;"ALEXIS";"2006";"53";21
"86377";1;"ALEXIS";"2007";"53";21
"86475";1;"ALEXIS";"2008";"53";17
"86569";1;"ALEXIS";"2009";"53";9
"86662";1;"ALEXIS";"2010";"53";12
"86757";1;"ALEXIS";"2011";"53";13
"86852";1;"ALEXIS";"2012";"53";4
"86943";1;"ALEXIS";"2013";"53";5
"87033";1;"ALEXIS";"2014";"53";11
"87117";1;"ALEXIS";"2015";"53";7
"87203";1;"ALEXIS";"2016";"53";5
"87283";1;"ALEXIS";"2017";"53";6
"87357";1;"ALEXIS";"2018";"53";4
"87429";1;"ALEXIS";"2019";"53";4
"87491";1;"ALEXIS";"2020";"53";4
"87808";1;"ALEXY";"2003";"53";3
"87874";1;"ALEXY";"2005";"53";4
"88027";1;"ALEXY";"2010";"53";4
"94620";1;"ALI";"2020";"53";7
"95673";1;"ALIX";"2014";"53";3
"97175";1;"ALLAN";"2000";"53";6
"97320";1;"ALLAN";"2002";"53";5
"97385";1;"ALLAN";"2003";"53";4
"97455";1;"ALLAN";"2004";"53";4
"97576";1;"ALLAN";"2006";"53";3
"98488";1;"ALOÏS";"2011";"53";3
"98557";1;"ALOÏS";"2013";"53";4
"98713";1;"ALOÏS";"2018";"53";3
"98778";1;"ALOÏS";"2020";"53";4
"102794";1;"ALVIN";"2006";"53";3
"105630";1;"AMAURY";"2001";"53";3
