"";"sexe";"preusuel";"annais";"dpt";"nombre"
"8808";1;"_PRENOMS_RARES";"2000";"03";33
"8907";1;"_PRENOMS_RARES";"2001";"03";34
"9005";1;"_PRENOMS_RARES";"2002";"03";34
"9104";1;"_PRENOMS_RARES";"2003";"03";32
"9202";1;"_PRENOMS_RARES";"2004";"03";37
"9301";1;"_PRENOMS_RARES";"2005";"03";41
"9400";1;"_PRENOMS_RARES";"2006";"03";60
"9499";1;"_PRENOMS_RARES";"2007";"03";48
"9598";1;"_PRENOMS_RARES";"2008";"03";56
"9696";1;"_PRENOMS_RARES";"2009";"03";50
"9795";1;"_PRENOMS_RARES";"2010";"03";58
"9894";1;"_PRENOMS_RARES";"2011";"03";66
"9993";1;"_PRENOMS_RARES";"2012";"03";80
"10092";1;"_PRENOMS_RARES";"2013";"03";86
"10191";1;"_PRENOMS_RARES";"2014";"03";80
"10290";1;"_PRENOMS_RARES";"2015";"03";84
"10389";1;"_PRENOMS_RARES";"2016";"03";72
"10488";1;"_PRENOMS_RARES";"2017";"03";75
"10587";1;"_PRENOMS_RARES";"2018";"03";92
"10686";1;"_PRENOMS_RARES";"2019";"03";100
"10785";1;"_PRENOMS_RARES";"2020";"03";84
"10989";1;"AARON";"2004";"03";3
"11136";1;"AARON";"2007";"03";5
"11212";1;"AARON";"2008";"03";10
"11299";1;"AARON";"2009";"03";4
"11383";1;"AARON";"2010";"03";8
"11467";1;"AARON";"2011";"03";10
"11554";1;"AARON";"2012";"03";5
"11643";1;"AARON";"2013";"03";10
"11734";1;"AARON";"2014";"03";14
"11827";1;"AARON";"2015";"03";10
"11921";1;"AARON";"2016";"03";14
"12015";1;"AARON";"2017";"03";10
"12108";1;"AARON";"2018";"03";9
"12201";1;"AARON";"2019";"03";13
"12294";1;"AARON";"2020";"03";10
"20553";1;"ABEL";"2007";"03";3
"20777";1;"ABEL";"2013";"03";4
"20936";1;"ABEL";"2016";"03";3
"21055";1;"ABEL";"2018";"03";5
"23040";1;"ACHILLE";"2011";"03";3
"23085";1;"ACHILLE";"2012";"03";3
"23128";1;"ACHILLE";"2013";"03";3
"23431";1;"ACHILLE";"2020";"03";3
"24317";1;"ADAM";"2000";"03";4
"24439";1;"ADAM";"2002";"03";3
"24507";1;"ADAM";"2003";"03";4
"24579";1;"ADAM";"2004";"03";4
"24656";1;"ADAM";"2005";"03";6
"24819";1;"ADAM";"2007";"03";8
"24906";1;"ADAM";"2008";"03";6
"24996";1;"ADAM";"2009";"03";7
"25085";1;"ADAM";"2010";"03";7
"25175";1;"ADAM";"2011";"03";5
"25267";1;"ADAM";"2012";"03";6
"25357";1;"ADAM";"2013";"03";6
"25449";1;"ADAM";"2014";"03";12
"25543";1;"ADAM";"2015";"03";16
"25636";1;"ADAM";"2016";"03";12
"25730";1;"ADAM";"2017";"03";7
"25819";1;"ADAM";"2018";"03";13
"25909";1;"ADAM";"2019";"03";8
"26002";1;"ADAM";"2020";"03";9
"26623";1;"ADAN";"2014";"03";3
"28347";1;"ADEM";"2016";"03";3
"28561";1;"ADEM";"2020";"03";3
"37837";1;"ADRIEN";"2000";"03";23
