"";"sexe";"preusuel";"annais";"dpt";"nombre"
"8854";1;"_PRENOMS_RARES";"2000";"49";65
"8952";1;"_PRENOMS_RARES";"2001";"49";98
"9051";1;"_PRENOMS_RARES";"2002";"49";120
"9149";1;"_PRENOMS_RARES";"2003";"49";108
"9248";1;"_PRENOMS_RARES";"2004";"49";122
"9347";1;"_PRENOMS_RARES";"2005";"49";136
"9446";1;"_PRENOMS_RARES";"2006";"49";149
"9545";1;"_PRENOMS_RARES";"2007";"49";161
"9643";1;"_PRENOMS_RARES";"2008";"49";154
"9742";1;"_PRENOMS_RARES";"2009";"49";158
"9841";1;"_PRENOMS_RARES";"2010";"49";189
"9940";1;"_PRENOMS_RARES";"2011";"49";208
"10039";1;"_PRENOMS_RARES";"2012";"49";226
"10138";1;"_PRENOMS_RARES";"2013";"49";214
"10237";1;"_PRENOMS_RARES";"2014";"49";236
"10336";1;"_PRENOMS_RARES";"2015";"49";210
"10435";1;"_PRENOMS_RARES";"2016";"49";235
"10534";1;"_PRENOMS_RARES";"2017";"49";222
"10633";1;"_PRENOMS_RARES";"2018";"49";250
"10732";1;"_PRENOMS_RARES";"2019";"49";240
"10831";1;"_PRENOMS_RARES";"2020";"49";274
"10948";1;"AARON";"2001";"49";3
"11097";1;"AARON";"2006";"49";4
"11167";1;"AARON";"2007";"49";8
"11249";1;"AARON";"2008";"49";18
"11335";1;"AARON";"2009";"49";17
"11420";1;"AARON";"2010";"49";14
"11504";1;"AARON";"2011";"49";22
"11594";1;"AARON";"2012";"49";16
"11684";1;"AARON";"2013";"49";19
"11775";1;"AARON";"2014";"49";27
"11868";1;"AARON";"2015";"49";19
"11962";1;"AARON";"2016";"49";33
"12056";1;"AARON";"2017";"49";25
"12148";1;"AARON";"2018";"49";28
"12242";1;"AARON";"2019";"49";26
"12339";1;"AARON";"2020";"49";24
"13189";1;"ABDALLAH";"2018";"49";3
"20433";1;"ABEL";"2000";"49";3
"20464";1;"ABEL";"2002";"49";4
"20496";1;"ABEL";"2004";"49";4
"20513";1;"ABEL";"2005";"49";3
"20535";1;"ABEL";"2006";"49";7
"20564";1;"ABEL";"2007";"49";8
"20599";1;"ABEL";"2008";"49";6
"20629";1;"ABEL";"2009";"49";6
"20668";1;"ABEL";"2010";"49";6
"20706";1;"ABEL";"2011";"49";7
"20751";1;"ABEL";"2012";"49";10
"20799";1;"ABEL";"2013";"49";6
"20851";1;"ABEL";"2014";"49";11
"20904";1;"ABEL";"2015";"49";8
"20959";1;"ABEL";"2016";"49";9
"21018";1;"ABEL";"2017";"49";8
"21076";1;"ABEL";"2018";"49";11
"21132";1;"ABEL";"2019";"49";12
"21193";1;"ABEL";"2020";"49";13
"21496";1;"ABOUBACAR";"2019";"49";4
"21903";1;"ABRIEL";"2019";"49";3
"22728";1;"ACHILLE";"2000";"49";3
"22742";1;"ACHILLE";"2001";"49";5
"22771";1;"ACHILLE";"2003";"49";5
"22796";1;"ACHILLE";"2004";"49";3
"22821";1;"ACHILLE";"2005";"49";5
"22854";1;"ACHILLE";"2006";"49";5
"22897";1;"ACHILLE";"2007";"49";4
"22972";1;"ACHILLE";"2009";"49";4
"23012";1;"ACHILLE";"2010";"49";6
"23060";1;"ACHILLE";"2011";"49";6
"23100";1;"ACHILLE";"2012";"49";7
"23142";1;"ACHILLE";"2013";"49";11
"23182";1;"ACHILLE";"2014";"49";4
"23222";1;"ACHILLE";"2015";"49";8
"23267";1;"ACHILLE";"2016";"49";7
"23307";1;"ACHILLE";"2017";"49";11
"23357";1;"ACHILLE";"2018";"49";8
"23404";1;"ACHILLE";"2019";"49";12
"23452";1;"ACHILLE";"2020";"49";16
"24343";1;"ADAM";"2000";"49";8
"24404";1;"ADAM";"2001";"49";5
"24465";1;"ADAM";"2002";"49";10
"24538";1;"ADAM";"2003";"49";5
"24613";1;"ADAM";"2004";"49";15
"24688";1;"ADAM";"2005";"49";13
"24770";1;"ADAM";"2006";"49";16
"24857";1;"ADAM";"2007";"49";16
"24946";1;"ADAM";"2008";"49";30
"25035";1;"ADAM";"2009";"49";22
"25125";1;"ADAM";"2010";"49";23
"25216";1;"ADAM";"2011";"49";33
"25307";1;"ADAM";"2012";"49";31
"25399";1;"ADAM";"2013";"49";38
"25492";1;"ADAM";"2014";"49";29
"25584";1;"ADAM";"2015";"49";35
"25679";1;"ADAM";"2016";"49";27
"25769";1;"ADAM";"2017";"49";28
"25859";1;"ADAM";"2018";"49";38
"25952";1;"ADAM";"2019";"49";33
"26045";1;"ADAM";"2020";"49";28
"26625";1;"ADAN";"2014";"49";3
"27493";1;"ADEL";"2015";"49";3
"27572";1;"ADEL";"2018";"49";5
"27629";1;"ADEL";"2020";"49";3
"27712";1;"ADELIN";"2009";"49";3
"28054";1;"ADEM";"2009";"49";3
"28130";1;"ADEM";"2011";"49";3
"28176";1;"ADEM";"2012";"49";4
"28221";1;"ADEM";"2013";"49";4
"28269";1;"ADEM";"2014";"49";3
"28317";1;"ADEM";"2015";"49";5
"28371";1;"ADEM";"2016";"49";4
"28475";1;"ADEM";"2018";"49";8
"28528";1;"ADEM";"2019";"49";8
"28583";1;"ADEM";"2020";"49";5
"31270";1;"ADONIS";"2013";"49";4
"31925";1;"ADRIAN";"2017";"49";3
"37881";1;"ADRIEN";"2000";"49";47
"37979";1;"ADRIEN";"2001";"49";54
"38077";1;"ADRIEN";"2002";"49";46
"38174";1;"ADRIEN";"2003";"49";31
"38270";1;"ADRIEN";"2004";"49";27
"38366";1;"ADRIEN";"2005";"49";27
"38459";1;"ADRIEN";"2006";"49";29
"38551";1;"ADRIEN";"2007";"49";21
"38644";1;"ADRIEN";"2008";"49";14
"38735";1;"ADRIEN";"2009";"49";21
"38823";1;"ADRIEN";"2010";"49";9
"38908";1;"ADRIEN";"2011";"49";13
"38995";1;"ADRIEN";"2012";"49";8
"39077";1;"ADRIEN";"2013";"49";8
"39159";1;"ADRIEN";"2014";"49";12
"39237";1;"ADRIEN";"2015";"49";12
"39311";1;"ADRIEN";"2016";"49";9
"39386";1;"ADRIEN";"2017";"49";12
"39524";1;"ADRIEN";"2019";"49";7
"41462";1;"AHMED";"2001";"49";3
"41664";1;"AHMED";"2008";"49";4
"41968";1;"AHMED";"2016";"49";4
"42012";1;"AHMED";"2017";"49";6
"42089";1;"AHMED";"2019";"49";4
"42131";1;"AHMED";"2020";"49";3
"42468";1;"AIDAN";"2004";"49";3
"42578";1;"AIDAN";"2011";"49";3
"42648";1;"AIDAN";"2019";"49";3
"42872";1;"AIDEN";"2020";"49";3
"42883";1;"AÏDEN";"2014";"49";3
"42928";1;"AÏDEN";"2017";"49";3
"42952";1;"AÏDEN";"2018";"49";3
"42979";1;"AÏDEN";"2019";"49";4
"43006";1;"AÏDEN";"2020";"49";3
"46776";1;"AIMÉ";"2014";"49";3
"46786";1;"AIMÉ";"2016";"49";3
"46791";1;"AIMÉ";"2017";"49";3
"46799";1;"AIMÉ";"2019";"49";3
"48246";1;"AKSEL";"2018";"49";4
"54354";1;"ALAIN";"2001";"49";3
"55637";1;"ALAN";"2000";"49";9
"55716";1;"ALAN";"2001";"49";7
"55787";1;"ALAN";"2002";"49";10
"55855";1;"ALAN";"2003";"49";13
"55926";1;"ALAN";"2004";"49";11
"55986";1;"ALAN";"2005";"49";4
"56049";1;"ALAN";"2006";"49";7
"56107";1;"ALAN";"2007";"49";8
"56159";1;"ALAN";"2008";"49";7
"56255";1;"ALAN";"2010";"49";4
"56298";1;"ALAN";"2011";"49";4
"56377";1;"ALAN";"2013";"49";4
"56532";1;"ALAN";"2018";"49";6
"56578";1;"ALAN";"2020";"49";5
"58867";1;"ALBAN";"2000";"49";13
"58929";1;"ALBAN";"2001";"49";23
"58994";1;"ALBAN";"2002";"49";13
"59051";1;"ALBAN";"2003";"49";13
"59117";1;"ALBAN";"2004";"49";11
"59184";1;"ALBAN";"2005";"49";20
"59257";1;"ALBAN";"2006";"49";15
"59327";1;"ALBAN";"2007";"49";13
"59400";1;"ALBAN";"2008";"49";12
"59473";1;"ALBAN";"2009";"49";21
"59544";1;"ALBAN";"2010";"49";16
"59611";1;"ALBAN";"2011";"49";14
"59676";1;"ALBAN";"2012";"49";7
"59748";1;"ALBAN";"2013";"49";15
"59811";1;"ALBAN";"2014";"49";15
"59876";1;"ALBAN";"2015";"49";15
"59938";1;"ALBAN";"2016";"49";9
"60004";1;"ALBAN";"2017";"49";9
"60067";1;"ALBAN";"2018";"49";6
"60128";1;"ALBAN";"2019";"49";5
"60183";1;"ALBAN";"2020";"49";6
"66857";1;"ALBIN";"2002";"49";3
"66872";1;"ALBIN";"2004";"49";3
"66884";1;"ALBIN";"2005";"49";3
"66931";1;"ALBIN";"2008";"49";7
"66940";1;"ALBIN";"2009";"49";8
"66954";1;"ALBIN";"2010";"49";6
"66985";1;"ALBIN";"2012";"49";7
"67005";1;"ALBIN";"2013";"49";5
"67019";1;"ALBIN";"2014";"49";5
"67038";1;"ALBIN";"2015";"49";6
"67053";1;"ALBIN";"2016";"49";4
"67067";1;"ALBIN";"2017";"49";3
"67114";1;"ALBIN";"2020";"49";5
"68010";1;"ALEC";"2016";"49";3
"68196";1;"ALENZO";"2014";"49";3
"68452";1;"ALESSANDRO";"2010";"49";3
"69048";1;"ALESSIO";"2018";"49";3
"69102";1;"ALESSIO";"2019";"49";6
"69159";1;"ALESSIO";"2020";"49";5
"70994";1;"ALEX";"2000";"49";18
"71081";1;"ALEX";"2001";"49";26
"71167";1;"ALEX";"2002";"49";20
"71250";1;"ALEX";"2003";"49";17
"71322";1;"ALEX";"2004";"49";11
"71395";1;"ALEX";"2005";"49";7
"71464";1;"ALEX";"2006";"49";11
"71529";1;"ALEX";"2007";"49";9
"71586";1;"ALEX";"2008";"49";8
"71646";1;"ALEX";"2009";"49";4
"71714";1;"ALEX";"2010";"49";12
"71770";1;"ALEX";"2011";"49";9
"71828";1;"ALEX";"2012";"49";9
"71880";1;"ALEX";"2013";"49";5
"71931";1;"ALEX";"2014";"49";6
"71982";1;"ALEX";"2015";"49";7
"72032";1;"ALEX";"2016";"49";11
"72073";1;"ALEX";"2017";"49";5
"72120";1;"ALEX";"2018";"49";5
"79057";1;"ALEXANDRE";"2000";"49";87
"79155";1;"ALEXANDRE";"2001";"49";75
"79253";1;"ALEXANDRE";"2002";"49";61
"79352";1;"ALEXANDRE";"2003";"49";52
"79451";1;"ALEXANDRE";"2004";"49";44
"79549";1;"ALEXANDRE";"2005";"49";52
"79644";1;"ALEXANDRE";"2006";"49";61
"79741";1;"ALEXANDRE";"2007";"49";26
"79835";1;"ALEXANDRE";"2008";"49";36
"79928";1;"ALEXANDRE";"2009";"49";20
"80023";1;"ALEXANDRE";"2010";"49";16
"80115";1;"ALEXANDRE";"2011";"49";15
"80205";1;"ALEXANDRE";"2012";"49";14
"80291";1;"ALEXANDRE";"2013";"49";22
"80372";1;"ALEXANDRE";"2014";"49";17
"80453";1;"ALEXANDRE";"2015";"49";14
"80539";1;"ALEXANDRE";"2016";"49";15
"80617";1;"ALEXANDRE";"2017";"49";10
"80690";1;"ALEXANDRE";"2018";"49";13
"80764";1;"ALEXANDRE";"2019";"49";14
"80835";1;"ALEXANDRE";"2020";"49";7
"81012";1;"ALEXI";"2003";"49";3
"81041";1;"ALEXI";"2006";"49";3
"85692";1;"ALEXIS";"2000";"49";108
"85791";1;"ALEXIS";"2001";"49";92
"85889";1;"ALEXIS";"2002";"49";89
"85986";1;"ALEXIS";"2003";"49";80
"86083";1;"ALEXIS";"2004";"49";81
"86181";1;"ALEXIS";"2005";"49";72
"86278";1;"ALEXIS";"2006";"49";58
"86374";1;"ALEXIS";"2007";"49";47
"86471";1;"ALEXIS";"2008";"49";53
"86565";1;"ALEXIS";"2009";"49";53
"86658";1;"ALEXIS";"2010";"49";26
"86753";1;"ALEXIS";"2011";"49";35
"86848";1;"ALEXIS";"2012";"49";39
"86939";1;"ALEXIS";"2013";"49";30
"87029";1;"ALEXIS";"2014";"49";28
"87114";1;"ALEXIS";"2015";"49";22
"87201";1;"ALEXIS";"2016";"49";24
"87280";1;"ALEXIS";"2017";"49";9
"87355";1;"ALEXIS";"2018";"49";10
"87426";1;"ALEXIS";"2019";"49";6
"87488";1;"ALEXIS";"2020";"49";9
"87841";1;"ALEXY";"2004";"49";8
"87998";1;"ALEXY";"2009";"49";4
"93874";1;"ALI";"2004";"49";4
"93950";1;"ALI";"2006";"49";3
"93991";1;"ALI";"2007";"49";4
"94076";1;"ALI";"2009";"49";5
"94122";1;"ALI";"2010";"49";5
"94214";1;"ALI";"2012";"49";4
"94257";1;"ALI";"2013";"49";4
"94302";1;"ALI";"2014";"49";8
"94352";1;"ALI";"2015";"49";5
"94404";1;"ALI";"2016";"49";5
"94455";1;"ALI";"2017";"49";5
"94507";1;"ALI";"2018";"49";9
"94560";1;"ALI";"2019";"49";3
"94618";1;"ALI";"2020";"49";8
"94821";1;"ALIOU";"2020";"49";3
"95271";1;"ALIX";"2000";"49";3
"95286";1;"ALIX";"2001";"49";7
"95309";1;"ALIX";"2002";"49";7
"95348";1;"ALIX";"2003";"49";5
"95381";1;"ALIX";"2004";"49";9
"95414";1;"ALIX";"2005";"49";5
"95443";1;"ALIX";"2006";"49";14
"95483";1;"ALIX";"2007";"49";3
"95514";1;"ALIX";"2008";"49";8
"95547";1;"ALIX";"2009";"49";7
"95578";1;"ALIX";"2010";"49";8
"95605";1;"ALIX";"2011";"49";5
"95628";1;"ALIX";"2012";"49";6
"95651";1;"ALIX";"2013";"49";6
"95671";1;"ALIX";"2014";"49";9
"95702";1;"ALIX";"2015";"49";7
"95747";1;"ALIX";"2017";"49";4
"95775";1;"ALIX";"2018";"49";8
"95800";1;"ALIX";"2019";"49";5
"95823";1;"ALIX";"2020";"49";7
"97171";1;"ALLAN";"2000";"49";10
"97246";1;"ALLAN";"2001";"49";3
"97316";1;"ALLAN";"2002";"49";5
"97382";1;"ALLAN";"2003";"49";3
"97452";1;"ALLAN";"2004";"49";14
"97517";1;"ALLAN";"2005";"49";6
"97573";1;"ALLAN";"2006";"49";5
"97630";1;"ALLAN";"2007";"49";7
"97674";1;"ALLAN";"2008";"49";4
"97826";1;"ALLAN";"2013";"49";5
"98166";1;"ALOIS";"2000";"49";3
"98186";1;"ALOIS";"2001";"49";3
"98204";1;"ALOIS";"2002";"49";3
"98219";1;"ALOIS";"2003";"49";3
"98237";1;"ALOIS";"2004";"49";9
"98290";1;"ALOIS";"2006";"49";6
"98327";1;"ALOIS";"2007";"49";14
"98358";1;"ALOIS";"2008";"49";6
"98387";1;"ALOIS";"2009";"49";6
"98422";1;"ALOIS";"2010";"49";5
"98486";1;"ALOÏS";"2011";"49";8
"98518";1;"ALOÏS";"2012";"49";7
"98555";1;"ALOÏS";"2013";"49";3
"98587";1;"ALOÏS";"2014";"49";3
