"";"sexe";"preusuel";"annais";"dpt";"nombre"
"8825";1;"_PRENOMS_RARES";"2000";"20";71
"8924";1;"_PRENOMS_RARES";"2001";"20";56
"9022";1;"_PRENOMS_RARES";"2002";"20";60
"9121";1;"_PRENOMS_RARES";"2003";"20";68
"9219";1;"_PRENOMS_RARES";"2004";"20";66
"9318";1;"_PRENOMS_RARES";"2005";"20";72
"9417";1;"_PRENOMS_RARES";"2006";"20";81
"9516";1;"_PRENOMS_RARES";"2007";"20";69
"9615";1;"_PRENOMS_RARES";"2008";"20";82
"9713";1;"_PRENOMS_RARES";"2009";"20";92
"9812";1;"_PRENOMS_RARES";"2010";"20";116
"9911";1;"_PRENOMS_RARES";"2011";"20";94
"10010";1;"_PRENOMS_RARES";"2012";"20";111
"10109";1;"_PRENOMS_RARES";"2013";"20";99
"10208";1;"_PRENOMS_RARES";"2014";"20";110
"10307";1;"_PRENOMS_RARES";"2015";"20";119
"10406";1;"_PRENOMS_RARES";"2016";"20";98
"10505";1;"_PRENOMS_RARES";"2017";"20";133
"10604";1;"_PRENOMS_RARES";"2018";"20";126
"10703";1;"_PRENOMS_RARES";"2019";"20";127
"10802";1;"_PRENOMS_RARES";"2020";"20";120
"11226";1;"AARON";"2008";"20";3
"11658";1;"AARON";"2013";"20";4
"11751";1;"AARON";"2014";"20";5
"11843";1;"AARON";"2015";"20";5
"11937";1;"AARON";"2016";"20";5
"12030";1;"AARON";"2017";"20";4
"12125";1;"AARON";"2018";"20";5
"12311";1;"AARON";"2020";"20";5
"23172";1;"ACHILLE";"2014";"20";3
"23581";1;"ACHRAF";"2002";"20";4
"23639";1;"ACHRAF";"2009";"20";3
"24517";1;"ADAM";"2003";"20";4
"24591";1;"ADAM";"2004";"20";4
"24667";1;"ADAM";"2005";"20";6
"24748";1;"ADAM";"2006";"20";11
"24832";1;"ADAM";"2007";"20";8
"24921";1;"ADAM";"2008";"20";11
"25010";1;"ADAM";"2009";"20";17
"25100";1;"ADAM";"2010";"20";16
"25190";1;"ADAM";"2011";"20";17
"25284";1;"ADAM";"2012";"20";26
"25372";1;"ADAM";"2013";"20";23
"25465";1;"ADAM";"2014";"20";32
"25558";1;"ADAM";"2015";"20";26
"25653";1;"ADAM";"2016";"20";20
"25744";1;"ADAM";"2017";"20";14
"25834";1;"ADAM";"2018";"20";17
"25925";1;"ADAM";"2019";"20";17
"26019";1;"ADAM";"2020";"20";7
"28081";1;"ADEM";"2010";"20";3
"28160";1;"ADEM";"2012";"20";4
"28252";1;"ADEM";"2014";"20";3
"28354";1;"ADEM";"2016";"20";6
"28404";1;"ADEM";"2017";"20";3
"28716";1;"ADHAM";"2005";"20";3
