"";"sexe";"preusuel";"annais";"dpt";"nombre"
"8826";1;"_PRENOMS_RARES";"2000";"21";58
"8925";1;"_PRENOMS_RARES";"2001";"21";54
"9023";1;"_PRENOMS_RARES";"2002";"21";67
"9122";1;"_PRENOMS_RARES";"2003";"21";74
"9220";1;"_PRENOMS_RARES";"2004";"21";75
"9319";1;"_PRENOMS_RARES";"2005";"21";82
"9418";1;"_PRENOMS_RARES";"2006";"21";80
"9517";1;"_PRENOMS_RARES";"2007";"21";98
"9616";1;"_PRENOMS_RARES";"2008";"21";95
"9714";1;"_PRENOMS_RARES";"2009";"21";90
"9813";1;"_PRENOMS_RARES";"2010";"21";97
"9912";1;"_PRENOMS_RARES";"2011";"21";139
"10011";1;"_PRENOMS_RARES";"2012";"21";145
"10110";1;"_PRENOMS_RARES";"2013";"21";138
"10209";1;"_PRENOMS_RARES";"2014";"21";132
"10308";1;"_PRENOMS_RARES";"2015";"21";130
"10407";1;"_PRENOMS_RARES";"2016";"21";129
"10506";1;"_PRENOMS_RARES";"2017";"21";116
"10605";1;"_PRENOMS_RARES";"2018";"21";116
"10704";1;"_PRENOMS_RARES";"2019";"21";135
"10803";1;"_PRENOMS_RARES";"2020";"21";147
"10961";1;"AARON";"2002";"21";3
"10994";1;"AARON";"2004";"21";3
"11146";1;"AARON";"2007";"21";4
"11227";1;"AARON";"2008";"21";12
"11312";1;"AARON";"2009";"21";12
"11397";1;"AARON";"2010";"21";11
"11481";1;"AARON";"2011";"21";9
"11570";1;"AARON";"2012";"21";17
"11659";1;"AARON";"2013";"21";16
"11752";1;"AARON";"2014";"21";13
"11844";1;"AARON";"2015";"21";21
"11938";1;"AARON";"2016";"21";25
"12031";1;"AARON";"2017";"21";15
"12126";1;"AARON";"2018";"21";14
"12217";1;"AARON";"2019";"21";19
"12312";1;"AARON";"2020";"21";17
"12956";1;"ABDALLAH";"2008";"21";3
"12998";1;"ABDALLAH";"2010";"21";5
"13016";1;"ABDALLAH";"2011";"21";4
"13774";1;"ABDEL";"2019";"21";3
"17925";1;"ABDOULLAH";"2013";"21";4
"18183";1;"ABDULLAH";"2017";"21";3
"20589";1;"ABEL";"2008";"21";3
"20736";1;"ABEL";"2012";"21";3
"20835";1;"ABEL";"2014";"21";4
"20889";1;"ABEL";"2015";"21";3
"20941";1;"ABEL";"2016";"21";5
"21001";1;"ABEL";"2017";"21";4
"21060";1;"ABEL";"2018";"21";3
"21115";1;"ABEL";"2019";"21";3
"21177";1;"ABEL";"2020";"21";9
"22725";1;"ACHILLE";"2000";"21";3
"22752";1;"ACHILLE";"2002";"21";3
"22787";1;"ACHILLE";"2004";"21";4
"22842";1;"ACHILLE";"2006";"21";4
"22886";1;"ACHILLE";"2007";"21";4
"22923";1;"ACHILLE";"2008";"21";5
"23000";1;"ACHILLE";"2010";"21";5
"23047";1;"ACHILLE";"2011";"21";5
"23090";1;"ACHILLE";"2012";"21";4
"23254";1;"ACHILLE";"2016";"21";3
"23294";1;"ACHILLE";"2017";"21";3
"23342";1;"ACHILLE";"2018";"21";7
"23391";1;"ACHILLE";"2019";"21";4
"23437";1;"ACHILLE";"2020";"21";7
"24324";1;"ADAM";"2000";"21";13
"24387";1;"ADAM";"2001";"21";13
"24445";1;"ADAM";"2002";"21";8
"24518";1;"ADAM";"2003";"21";5
"24592";1;"ADAM";"2004";"21";17
"24668";1;"ADAM";"2005";"21";15
"24749";1;"ADAM";"2006";"21";19
"24833";1;"ADAM";"2007";"21";18
"24922";1;"ADAM";"2008";"21";30
"25011";1;"ADAM";"2009";"21";31
"25101";1;"ADAM";"2010";"21";33
"25191";1;"ADAM";"2011";"21";14
"25285";1;"ADAM";"2012";"21";27
"25373";1;"ADAM";"2013";"21";29
"25466";1;"ADAM";"2014";"21";35
"25559";1;"ADAM";"2015";"21";38
"25654";1;"ADAM";"2016";"21";27
"25745";1;"ADAM";"2017";"21";33
"25835";1;"ADAM";"2018";"21";26
"25926";1;"ADAM";"2019";"21";16
"26020";1;"ADAM";"2020";"21";19
"26519";1;"ADAME";"2014";"21";3
"27426";1;"ADEL";"2013";"21";4
"27482";1;"ADEL";"2015";"21";7
"27512";1;"ADEL";"2016";"21";5
"27622";1;"ADEL";"2020";"21";3
"28117";1;"ADEM";"2011";"21";3
"28253";1;"ADEM";"2014";"21";4
"29164";1;"ADIL";"2004";"21";3
"29568";1;"ADNANE";"2013";"21";3
"37854";1;"ADRIEN";"2000";"21";30
"37952";1;"ADRIEN";"2001";"21";41
"38050";1;"ADRIEN";"2002";"21";20
"38147";1;"ADRIEN";"2003";"21";19
"38244";1;"ADRIEN";"2004";"21";13
"38340";1;"ADRIEN";"2005";"21";15
"38434";1;"ADRIEN";"2006";"21";9
"38525";1;"ADRIEN";"2007";"21";17
"38619";1;"ADRIEN";"2008";"21";14
"38710";1;"ADRIEN";"2009";"21";11
"38801";1;"ADRIEN";"2010";"21";9
"38886";1;"ADRIEN";"2011";"21";11
"38972";1;"ADRIEN";"2012";"21";9
"39056";1;"ADRIEN";"2013";"21";8
"39137";1;"ADRIEN";"2014";"21";8
"39219";1;"ADRIEN";"2015";"21";10
"39292";1;"ADRIEN";"2016";"21";9
"39367";1;"ADRIEN";"2017";"21";3
"39436";1;"ADRIEN";"2018";"21";10
"39505";1;"ADRIEN";"2019";"21";9
"39572";1;"ADRIEN";"2020";"21";4
"41875";1;"AHMED";"2014";"21";3
"42787";1;"AIDEN";"2015";"21";7
"42999";1;"AÏDEN";"2020";"21";3
"47136";1;"AISSA";"2007";"21";3
"47212";1;"AÏSSA";"2012";"21";4
"47267";1;"AÏSSA";"2017";"21";3
"55617";1;"ALAN";"2000";"21";8
"55697";1;"ALAN";"2001";"21";5
"55766";1;"ALAN";"2002";"21";7
"55837";1;"ALAN";"2003";"21";5
"55907";1;"ALAN";"2004";"21";6
"55972";1;"ALAN";"2005";"21";3
"56031";1;"ALAN";"2006";"21";6
"56092";1;"ALAN";"2007";"21";7
"56243";1;"ALAN";"2010";"21";3
"56287";1;"ALAN";"2011";"21";4
"56325";1;"ALAN";"2012";"21";3
"56640";1;"ALARIC";"2013";"21";3
"59034";1;"ALBAN";"2003";"21";6
"59100";1;"ALBAN";"2004";"21";4
"59164";1;"ALBAN";"2005";"21";3
"59236";1;"ALBAN";"2006";"21";8
"59304";1;"ALBAN";"2007";"21";11
"59378";1;"ALBAN";"2008";"21";7
"59452";1;"ALBAN";"2009";"21";9
"59522";1;"ALBAN";"2010";"21";5
"59592";1;"ALBAN";"2011";"21";9
"59654";1;"ALBAN";"2012";"21";6
"59729";1;"ALBAN";"2013";"21";7
"59793";1;"ALBAN";"2014";"21";4
"59855";1;"ALBAN";"2015";"21";5
"59919";1;"ALBAN";"2016";"21";3
"59983";1;"ALBAN";"2017";"21";9
"60049";1;"ALBAN";"2018";"21";5
"60111";1;"ALBAN";"2019";"21";4
"60168";1;"ALBAN";"2020";"21";6
"66377";1;"ALBERT";"2002";"21";3
"66907";1;"ALBIN";"2007";"21";3
"66964";1;"ALBIN";"2011";"21";3
"66976";1;"ALBIN";"2012";"21";3
"67108";1;"ALBIN";"2020";"21";3
"68039";1;"ALEC";"2020";"21";4
"68303";1;"ALESSANDRO";"2001";"21";3
"68323";1;"ALESSANDRO";"2003";"21";3
"68613";1;"ALESSANDRO";"2019";"21";3
"68873";1;"ALESSIO";"2014";"21";3
"68990";1;"ALESSIO";"2017";"21";3
"69033";1;"ALESSIO";"2018";"21";6
"69086";1;"ALESSIO";"2019";"21";3
"69142";1;"ALESSIO";"2020";"21";8
"70970";1;"ALEX";"2000";"21";10
"71057";1;"ALEX";"2001";"21";19
"71144";1;"ALEX";"2002";"21";7
"71226";1;"ALEX";"2003";"21";8
"71302";1;"ALEX";"2004";"21";10
"71375";1;"ALEX";"2005";"21";12
"71446";1;"ALEX";"2006";"21";8
"71515";1;"ALEX";"2007";"21";5
"71571";1;"ALEX";"2008";"21";8
"71633";1;"ALEX";"2009";"21";6
"71698";1;"ALEX";"2010";"21";5
"71756";1;"ALEX";"2011";"21";5
"71816";1;"ALEX";"2012";"21";5
"71866";1;"ALEX";"2013";"21";6
"71919";1;"ALEX";"2014";"21";5
"72149";1;"ALEX";"2019";"21";3
"79029";1;"ALEXANDRE";"2000";"21";49
"79128";1;"ALEXANDRE";"2001";"21";38
"79226";1;"ALEXANDRE";"2002";"21";36
"79324";1;"ALEXANDRE";"2003";"21";42
"79423";1;"ALEXANDRE";"2004";"21";25
"79522";1;"ALEXANDRE";"2005";"21";22
"79619";1;"ALEXANDRE";"2006";"21";25
"79715";1;"ALEXANDRE";"2007";"21";25
"79810";1;"ALEXANDRE";"2008";"21";22
"79902";1;"ALEXANDRE";"2009";"21";15
"79996";1;"ALEXANDRE";"2010";"21";26
"80091";1;"ALEXANDRE";"2011";"21";14
"80181";1;"ALEXANDRE";"2012";"21";17
"80270";1;"ALEXANDRE";"2013";"21";11
"80350";1;"ALEXANDRE";"2014";"21";18
"80433";1;"ALEXANDRE";"2015";"21";14
"80518";1;"ALEXANDRE";"2016";"21";6
"80596";1;"ALEXANDRE";"2017";"21";6
"80669";1;"ALEXANDRE";"2018";"21";6
"80745";1;"ALEXANDRE";"2019";"21";8
"80817";1;"ALEXANDRE";"2020";"21";10
"85664";1;"ALEXIS";"2000";"21";71
"85763";1;"ALEXIS";"2001";"21";61
"85861";1;"ALEXIS";"2002";"21";52
"85959";1;"ALEXIS";"2003";"21";42
"86056";1;"ALEXIS";"2004";"21";46
"86154";1;"ALEXIS";"2005";"21";43
"86251";1;"ALEXIS";"2006";"21";33
"86348";1;"ALEXIS";"2007";"21";28
"86444";1;"ALEXIS";"2008";"21";19
"86539";1;"ALEXIS";"2009";"21";31
"86634";1;"ALEXIS";"2010";"21";17
"86728";1;"ALEXIS";"2011";"21";18
"86823";1;"ALEXIS";"2012";"21";18
"86915";1;"ALEXIS";"2013";"21";8
"87007";1;"ALEXIS";"2014";"21";13
"87090";1;"ALEXIS";"2015";"21";18
