"";"sexe";"preusuel";"annais";"dpt";"nombre"
"8813";1;"_PRENOMS_RARES";"2000";"08";21
"8912";1;"_PRENOMS_RARES";"2001";"08";18
"9010";1;"_PRENOMS_RARES";"2002";"08";30
"9109";1;"_PRENOMS_RARES";"2003";"08";25
"9207";1;"_PRENOMS_RARES";"2004";"08";22
"9306";1;"_PRENOMS_RARES";"2005";"08";42
"9405";1;"_PRENOMS_RARES";"2006";"08";39
"9504";1;"_PRENOMS_RARES";"2007";"08";42
"9603";1;"_PRENOMS_RARES";"2008";"08";38
"9701";1;"_PRENOMS_RARES";"2009";"08";46
"9800";1;"_PRENOMS_RARES";"2010";"08";36
"9899";1;"_PRENOMS_RARES";"2011";"08";46
"9998";1;"_PRENOMS_RARES";"2012";"08";39
"10097";1;"_PRENOMS_RARES";"2013";"08";42
"10196";1;"_PRENOMS_RARES";"2014";"08";44
"10295";1;"_PRENOMS_RARES";"2015";"08";47
"10394";1;"_PRENOMS_RARES";"2016";"08";50
"10493";1;"_PRENOMS_RARES";"2017";"08";45
"10592";1;"_PRENOMS_RARES";"2018";"08";53
"10691";1;"_PRENOMS_RARES";"2019";"08";41
"10790";1;"_PRENOMS_RARES";"2020";"08";48
"10990";1;"AARON";"2004";"08";4
"11076";1;"AARON";"2006";"08";7
"11138";1;"AARON";"2007";"08";5
"11216";1;"AARON";"2008";"08";9
"11302";1;"AARON";"2009";"08";9
"11387";1;"AARON";"2010";"08";7
"11472";1;"AARON";"2011";"08";15
"11559";1;"AARON";"2012";"08";8
"11648";1;"AARON";"2013";"08";12
"11739";1;"AARON";"2014";"08";6
"11832";1;"AARON";"2015";"08";10
"11925";1;"AARON";"2016";"08";4
"12019";1;"AARON";"2017";"08";7
"12113";1;"AARON";"2018";"08";5
"12206";1;"AARON";"2019";"08";10
"12299";1;"AARON";"2020";"08";5
"20650";1;"ABEL";"2010";"08";3
"20731";1;"ABEL";"2012";"08";3
"21170";1;"ABEL";"2020";"08";3
"23432";1;"ACHILLE";"2020";"08";3
"24510";1;"ADAM";"2003";"08";3
"24581";1;"ADAM";"2004";"08";3
"24659";1;"ADAM";"2005";"08";5
"24738";1;"ADAM";"2006";"08";6
"24823";1;"ADAM";"2007";"08";7
"24911";1;"ADAM";"2008";"08";6
"25000";1;"ADAM";"2009";"08";5
"25090";1;"ADAM";"2010";"08";7
"25180";1;"ADAM";"2011";"08";5
"25272";1;"ADAM";"2012";"08";10
"25361";1;"ADAM";"2013";"08";8
"25454";1;"ADAM";"2014";"08";9
"25547";1;"ADAM";"2015";"08";7
"25641";1;"ADAM";"2016";"08";8
"25734";1;"ADAM";"2017";"08";12
"25823";1;"ADAM";"2018";"08";7
"25913";1;"ADAM";"2019";"08";8
"26007";1;"ADAM";"2020";"08";7
"26490";1;"ADAME";"2012";"08";3
"27285";1;"ADEL";"2007";"08";3
"27400";1;"ADEL";"2012";"08";4
"27454";1;"ADEL";"2014";"08";3
"28300";1;"ADEM";"2015";"08";3
"28563";1;"ADEM";"2020";"08";3
"37842";1;"ADRIEN";"2000";"08";26
"37939";1;"ADRIEN";"2001";"08";14
"38037";1;"ADRIEN";"2002";"08";12
"38134";1;"ADRIEN";"2003";"08";13
"38231";1;"ADRIEN";"2004";"08";11
"38327";1;"ADRIEN";"2005";"08";10
"38421";1;"ADRIEN";"2006";"08";12
"38606";1;"ADRIEN";"2008";"08";5
"38789";1;"ADRIEN";"2010";"08";4
"38961";1;"ADRIEN";"2012";"08";4
"39126";1;"ADRIEN";"2014";"08";4
"39357";1;"ADRIEN";"2017";"08";4
"42785";1;"AIDEN";"2015";"08";4
"55689";1;"ALAN";"2001";"08";5
"55965";1;"ALAN";"2005";"08";4
"56088";1;"ALAN";"2007";"08";3
"56144";1;"ALAN";"2008";"08";3
"59091";1;"ALBAN";"2004";"08";3
"59228";1;"ALBAN";"2006";"08";3
"68838";1;"ALESSIO";"2013";"08";3
"68985";1;"ALESSIO";"2017";"08";3
"69136";1;"ALESSIO";"2020";"08";3
"70958";1;"ALEX";"2000";"08";4
"71048";1;"ALEX";"2001";"08";3
"71134";1;"ALEX";"2002";"08";3
"71217";1;"ALEX";"2003";"08";6
"71296";1;"ALEX";"2004";"08";3
"71370";1;"ALEX";"2005";"08";3
"71439";1;"ALEX";"2006";"08";4
"71507";1;"ALEX";"2007";"08";5
"71625";1;"ALEX";"2009";"08";5
"71691";1;"ALEX";"2010";"08";3
"71862";1;"ALEX";"2013";"08";4
"79016";1;"ALEXANDRE";"2000";"08";28
"79115";1;"ALEXANDRE";"2001";"08";25
"79213";1;"ALEXANDRE";"2002";"08";18
"79311";1;"ALEXANDRE";"2003";"08";15
"79410";1;"ALEXANDRE";"2004";"08";9
"79509";1;"ALEXANDRE";"2005";"08";8
"79606";1;"ALEXANDRE";"2006";"08";8
"79702";1;"ALEXANDRE";"2007";"08";10
"79798";1;"ALEXANDRE";"2008";"08";5
"79889";1;"ALEXANDRE";"2009";"08";8
"79983";1;"ALEXANDRE";"2010";"08";8
"80079";1;"ALEXANDRE";"2011";"08";5
"80507";1;"ALEXANDRE";"2016";"08";5
"85651";1;"ALEXIS";"2000";"08";35
"85750";1;"ALEXIS";"2001";"08";35
"85849";1;"ALEXIS";"2002";"08";23
"85946";1;"ALEXIS";"2003";"08";21
"86043";1;"ALEXIS";"2004";"08";25
"86141";1;"ALEXIS";"2005";"08";26
"86238";1;"ALEXIS";"2006";"08";12
"86335";1;"ALEXIS";"2007";"08";12
"86431";1;"ALEXIS";"2008";"08";11
"86526";1;"ALEXIS";"2009";"08";11
"86621";1;"ALEXIS";"2010";"08";11
"86715";1;"ALEXIS";"2011";"08";7
"86810";1;"ALEXIS";"2012";"08";4
"86903";1;"ALEXIS";"2013";"08";3
"86995";1;"ALEXIS";"2014";"08";4
"87166";1;"ALEXIS";"2016";"08";3
"87250";1;"ALEXIS";"2017";"08";4
"93760";1;"ALI";"2001";"08";3
"93862";1;"ALI";"2004";"08";4
"93936";1;"ALI";"2006";"08";3
"94284";1;"ALI";"2014";"08";3
"95470";1;"ALIX";"2007";"08";4
"95661";1;"ALIX";"2014";"08";3
"97142";1;"ALLAN";"2000";"08";9
"97220";1;"ALLAN";"2001";"08";5
"97290";1;"ALLAN";"2002";"08";8
"97430";1;"ALLAN";"2004";"08";4
"97496";1;"ALLAN";"2005";"08";3
"98255";1;"ALOIS";"2005";"08";3
"105756";1;"AMAURY";"2004";"08";3
"105811";1;"AMAURY";"2005";"08";3
"106030";1;"AMAURY";"2009";"08";4
"106104";1;"AMAURY";"2010";"08";3
"106241";1;"AMAURY";"2012";"08";3
"106302";1;"AMAURY";"2013";"08";4
"106424";1;"AMAURY";"2015";"08";3
"106487";1;"AMAURY";"2016";"08";5
"106600";1;"AMAURY";"2018";"08";5
"109081";1;"AMIN";"2010";"08";3
"109718";1;"AMINE";"2002";"08";3
"109876";1;"AMINE";"2005";"08";3
"109939";1;"AMINE";"2006";"08";5
"110010";1;"AMINE";"2007";"08";6
"110145";1;"AMINE";"2009";"08";4
"110275";1;"AMINE";"2011";"08";4
"110338";1;"AMINE";"2012";"08";3
"110402";1;"AMINE";"2013";"08";3
"110463";1;"AMINE";"2014";"08";3
"110589";1;"AMINE";"2016";"08";4
"110644";1;"AMINE";"2017";"08";5
"111239";1;"AMIR";"2010";"08";3
"111685";1;"AMIR";"2018";"08";4
"123473";1;"ANDRÉA";"2006";"08";3
"123545";1;"ANDRÉA";"2008";"08";3
"123662";1;"ANDRÉA";"2014";"08";3
"124765";1;"ANDREW";"2018";"08";3
"125615";1;"ANDY";"2001";"08";5
"125713";1;"ANDY";"2003";"08";3
"128632";1;"ANGEL";"2004";"08";3
"130164";1;"ANGELO";"2007";"08";3
"135795";1;"ANTHONY";"2000";"08";28
"135893";1;"ANTHONY";"2001";"08";9
"135991";1;"ANTHONY";"2002";"08";14
"136085";1;"ANTHONY";"2003";"08";10
"136178";1;"ANTHONY";"2004";"08";3
"136362";1;"ANTHONY";"2006";"08";4
"136450";1;"ANTHONY";"2007";"08";3
"136747";1;"ANTHONY";"2011";"08";4
"137026";1;"ANTHONY";"2017";"08";3
"144990";1;"ANTOINE";"2000";"08";35
"145089";1;"ANTOINE";"2001";"08";28
"145186";1;"ANTOINE";"2002";"08";30
"145284";1;"ANTOINE";"2003";"08";22
"145381";1;"ANTOINE";"2004";"08";13
"145477";1;"ANTOINE";"2005";"08";15
"145573";1;"ANTOINE";"2006";"08";12
"145667";1;"ANTOINE";"2007";"08";10
"145764";1;"ANTOINE";"2008";"08";12
"145861";1;"ANTOINE";"2009";"08";12
"145956";1;"ANTOINE";"2010";"08";9
"146050";1;"ANTOINE";"2011";"08";6
"146144";1;"ANTOINE";"2012";"08";8
"146236";1;"ANTOINE";"2013";"08";8
"146330";1;"ANTOINE";"2014";"08";11
"146423";1;"ANTOINE";"2015";"08";5
"146511";1;"ANTOINE";"2016";"08";11
"146603";1;"ANTOINE";"2017";"08";5
"146694";1;"ANTOINE";"2018";"08";5
"146785";1;"ANTOINE";"2019";"08";3
"146870";1;"ANTOINE";"2020";"08";7
"149659";1;"ANTONIN";"2000";"08";7
"149740";1;"ANTONIN";"2001";"08";11
"149826";1;"ANTONIN";"2002";"08";10
"149914";1;"ANTONIN";"2003";"08";4
"150000";1;"ANTONIN";"2004";"08";10
"150082";1;"ANTONIN";"2005";"08";9
"150166";1;"ANTONIN";"2006";"08";11
"150252";1;"ANTONIN";"2007";"08";6
"150338";1;"ANTONIN";"2008";"08";4
"150421";1;"ANTONIN";"2009";"08";6
"150583";1;"ANTONIN";"2011";"08";4
"150742";1;"ANTONIN";"2013";"08";5
"150820";1;"ANTONIN";"2014";"08";4
"150985";1;"ANTONIN";"2016";"08";4
"151063";1;"ANTONIN";"2017";"08";4
"151141";1;"ANTONIN";"2018";"08";4
"151218";1;"ANTONIN";"2019";"08";3
"162622";1;"ARMAND";"2000";"08";4
"162714";1;"ARMAND";"2002";"08";4
"162851";1;"ARMAND";"2005";"08";3
"168177";1;"ARNAUD";"2000";"08";6
"168424";1;"ARNAUD";"2003";"08";4
"168632";1;"ARNAUD";"2006";"08";4
"175189";1;"ARTHUR";"2000";"08";7
"175285";1;"ARTHUR";"2001";"08";15
"175381";1;"ARTHUR";"2002";"08";11
"175476";1;"ARTHUR";"2003";"08";16
"175573";1;"ARTHUR";"2004";"08";13
"175665";1;"ARTHUR";"2005";"08";17
"175763";1;"ARTHUR";"2006";"08";19
"175860";1;"ARTHUR";"2007";"08";13
"175957";1;"ARTHUR";"2008";"08";14
"176054";1;"ARTHUR";"2009";"08";13
"176151";1;"ARTHUR";"2010";"08";16
"176248";1;"ARTHUR";"2011";"08";14
"176345";1;"ARTHUR";"2012";"08";10
"176442";1;"ARTHUR";"2013";"08";11
"176540";1;"ARTHUR";"2014";"08";14
"176636";1;"ARTHUR";"2015";"08";12
"176732";1;"ARTHUR";"2016";"08";9
"176828";1;"ARTHUR";"2017";"08";9
