"";"sexe";"preusuel";"annais";"dpt";"nombre"
"8864";1;"_PRENOMS_RARES";"2000";"59";382
"8962";1;"_PRENOMS_RARES";"2001";"59";385
"9061";1;"_PRENOMS_RARES";"2002";"59";431
"9159";1;"_PRENOMS_RARES";"2003";"59";488
"9258";1;"_PRENOMS_RARES";"2004";"59";463
"9357";1;"_PRENOMS_RARES";"2005";"59";499
"9456";1;"_PRENOMS_RARES";"2006";"59";543
"9555";1;"_PRENOMS_RARES";"2007";"59";552
"9653";1;"_PRENOMS_RARES";"2008";"59";579
"9752";1;"_PRENOMS_RARES";"2009";"59";612
"9851";1;"_PRENOMS_RARES";"2010";"59";678
"9950";1;"_PRENOMS_RARES";"2011";"59";707
"10049";1;"_PRENOMS_RARES";"2012";"59";759
"10148";1;"_PRENOMS_RARES";"2013";"59";809
"10247";1;"_PRENOMS_RARES";"2014";"59";843
"10346";1;"_PRENOMS_RARES";"2015";"59";841
"10445";1;"_PRENOMS_RARES";"2016";"59";807
"10544";1;"_PRENOMS_RARES";"2017";"59";821
"10643";1;"_PRENOMS_RARES";"2018";"59";785
"10742";1;"_PRENOMS_RARES";"2019";"59";829
"10841";1;"_PRENOMS_RARES";"2020";"59";844
"10949";1;"AARON";"2001";"59";3
"10965";1;"AARON";"2002";"59";4
"10978";1;"AARON";"2003";"59";5
"11006";1;"AARON";"2004";"59";8
"11047";1;"AARON";"2005";"59";21
"11103";1;"AARON";"2006";"59";20
"11173";1;"AARON";"2007";"59";32
"11258";1;"AARON";"2008";"59";52
"11344";1;"AARON";"2009";"59";44
"11429";1;"AARON";"2010";"59";66
"11514";1;"AARON";"2011";"59";55
"11603";1;"AARON";"2012";"59";74
"11694";1;"AARON";"2013";"59";76
"11784";1;"AARON";"2014";"59";104
"11878";1;"AARON";"2015";"59";86
"11972";1;"AARON";"2016";"59";124
"12066";1;"AARON";"2017";"59";112
"12158";1;"AARON";"2018";"59";89
"12251";1;"AARON";"2019";"59";100
"12349";1;"AARON";"2020";"59";85
"12498";1;"ABD";"2004";"59";3
"12527";1;"ABD";"2014";"59";3
"12540";1;"ABD";"2016";"59";4
"12564";1;"ABD-ALLAH";"2015";"59";3
"12861";1;"ABDALLAH";"2000";"59";7
"12870";1;"ABDALLAH";"2001";"59";3
"12880";1;"ABDALLAH";"2002";"59";6
"12893";1;"ABDALLAH";"2003";"59";7
"12906";1;"ABDALLAH";"2004";"59";7
"12918";1;"ABDALLAH";"2005";"59";8
"12931";1;"ABDALLAH";"2006";"59";11
"12943";1;"ABDALLAH";"2007";"59";9
"12962";1;"ABDALLAH";"2008";"59";9
"12982";1;"ABDALLAH";"2009";"59";9
"13001";1;"ABDALLAH";"2010";"59";10
"13022";1;"ABDALLAH";"2011";"59";15
"13040";1;"ABDALLAH";"2012";"59";6
"13063";1;"ABDALLAH";"2013";"59";18
"13088";1;"ABDALLAH";"2014";"59";12
"13113";1;"ABDALLAH";"2015";"59";20
"13141";1;"ABDALLAH";"2016";"59";21
"13166";1;"ABDALLAH";"2017";"59";22
"13192";1;"ABDALLAH";"2018";"59";15
"13216";1;"ABDALLAH";"2019";"59";10
"13236";1;"ABDALLAH";"2020";"59";7
"13646";1;"ABDEL";"2000";"59";5
"13671";1;"ABDEL";"2004";"59";4
"13675";1;"ABDEL";"2005";"59";3
"13683";1;"ABDEL";"2006";"59";4
"13688";1;"ABDEL";"2007";"59";5
"13696";1;"ABDEL";"2008";"59";6
"13703";1;"ABDEL";"2009";"59";3
"13710";1;"ABDEL";"2010";"59";3
"13717";1;"ABDEL";"2011";"59";3
"13746";1;"ABDEL";"2015";"59";6
"13753";1;"ABDEL";"2016";"59";4
"13776";1;"ABDEL";"2019";"59";7
"13781";1;"ABDEL";"2020";"59";6
"13806";1;"ABDEL-HAKIM";"2005";"59";3
"13810";1;"ABDEL-HALIM";"2012";"59";4
"13857";1;"ABDEL-MALIK";"2011";"59";5
"13872";1;"ABDEL-RAHMAN";"2010";"59";3
"13873";1;"ABDEL-RAHMAN";"2013";"59";3
"14124";1;"ABDELAZIZ";"2000";"59";3
"14144";1;"ABDELAZIZ";"2016";"59";3
"14145";1;"ABDELAZIZ";"2017";"59";3
"14295";1;"ABDELHAK";"2007";"59";3
"14402";1;"ABDELHAKIM";"2003";"59";3
"14404";1;"ABDELHAKIM";"2004";"59";5
"14412";1;"ABDELHAKIM";"2011";"59";5
"14442";1;"ABDELHALIM";"2007";"59";3
"14517";1;"ABDELHAMID";"2002";"59";3
"14522";1;"ABDELHAMID";"2016";"59";5
"15506";1;"ABDELKADER";"2000";"59";6
"15522";1;"ABDELKADER";"2001";"59";8
"15531";1;"ABDELKADER";"2002";"59";5
"15545";1;"ABDELKADER";"2003";"59";9
"15560";1;"ABDELKADER";"2004";"59";10
"15583";1;"ABDELKADER";"2006";"59";6
"15594";1;"ABDELKADER";"2007";"59";6
"15609";1;"ABDELKADER";"2008";"59";7
"15618";1;"ABDELKADER";"2009";"59";4
"15629";1;"ABDELKADER";"2010";"59";8
"15635";1;"ABDELKADER";"2011";"59";3
"15678";1;"ABDELKADER";"2016";"59";3
"15689";1;"ABDELKADER";"2018";"59";3
"15705";1;"ABDELKADER";"2020";"59";3
"15793";1;"ABDELKARIM";"2003";"59";3
"15794";1;"ABDELKARIM";"2004";"59";3
"15819";1;"ABDELKARIM";"2017";"59";3
"16067";1;"ABDELKRIM";"2010";"59";4
"16205";1;"ABDELLAH";"2000";"59";6
"16209";1;"ABDELLAH";"2001";"59";6
"16216";1;"ABDELLAH";"2003";"59";5
"16220";1;"ABDELLAH";"2004";"59";3
"16225";1;"ABDELLAH";"2005";"59";3
"16242";1;"ABDELLAH";"2007";"59";3
"16248";1;"ABDELLAH";"2008";"59";5
"16256";1;"ABDELLAH";"2009";"59";5
"16265";1;"ABDELLAH";"2010";"59";4
"16276";1;"ABDELLAH";"2011";"59";8
"16288";1;"ABDELLAH";"2012";"59";4
