"";"sexe";"preusuel";"annais";"dpt";"nombre"
"8840";1;"_PRENOMS_RARES";"2000";"35";108
"8939";1;"_PRENOMS_RARES";"2001";"35";119
"9037";1;"_PRENOMS_RARES";"2002";"35";144
"9136";1;"_PRENOMS_RARES";"2003";"35";158
"9234";1;"_PRENOMS_RARES";"2004";"35";189
"9333";1;"_PRENOMS_RARES";"2005";"35";193
"9432";1;"_PRENOMS_RARES";"2006";"35";220
"9531";1;"_PRENOMS_RARES";"2007";"35";206
"9630";1;"_PRENOMS_RARES";"2008";"35";235
"9728";1;"_PRENOMS_RARES";"2009";"35";245
"9827";1;"_PRENOMS_RARES";"2010";"35";309
"9926";1;"_PRENOMS_RARES";"2011";"35";331
"10025";1;"_PRENOMS_RARES";"2012";"35";320
"10124";1;"_PRENOMS_RARES";"2013";"35";311
"10223";1;"_PRENOMS_RARES";"2014";"35";307
"10322";1;"_PRENOMS_RARES";"2015";"35";300
"10421";1;"_PRENOMS_RARES";"2016";"35";311
"10520";1;"_PRENOMS_RARES";"2017";"35";311
"10619";1;"_PRENOMS_RARES";"2018";"35";365
"10718";1;"_PRENOMS_RARES";"2019";"35";398
"10817";1;"_PRENOMS_RARES";"2020";"35";372
"11000";1;"AARON";"2004";"35";4
"11036";1;"AARON";"2005";"35";4
"11090";1;"AARON";"2006";"35";4
"11157";1;"AARON";"2007";"35";21
"11239";1;"AARON";"2008";"35";28
"11324";1;"AARON";"2009";"35";34
"11409";1;"AARON";"2010";"35";29
"11493";1;"AARON";"2011";"35";29
"11582";1;"AARON";"2012";"35";34
"11672";1;"AARON";"2013";"35";34
"11764";1;"AARON";"2014";"35";26
"11857";1;"AARON";"2015";"35";24
"11951";1;"AARON";"2016";"35";43
"12044";1;"AARON";"2017";"35";34
"12138";1;"AARON";"2018";"35";35
"12230";1;"AARON";"2019";"35";34
"12326";1;"AARON";"2020";"35";36
"13059";1;"ABDALLAH";"2013";"35";3
"13106";1;"ABDALLAH";"2015";"35";3
"13185";1;"ABDALLAH";"2018";"35";3
"13645";1;"ABDEL";"2000";"35";3
"17955";1;"ABDOULLAH";"2019";"35";3
"20463";1;"ABEL";"2002";"35";3
"20477";1;"ABEL";"2003";"35";3
"20559";1;"ABEL";"2007";"35";3
"20596";1;"ABEL";"2008";"35";5
"20625";1;"ABEL";"2009";"35";5
"20663";1;"ABEL";"2010";"35";3
"20701";1;"ABEL";"2011";"35";9
"20744";1;"ABEL";"2012";"35";7
"20791";1;"ABEL";"2013";"35";11
"20845";1;"ABEL";"2014";"35";8
"20897";1;"ABEL";"2015";"35";10
"20951";1;"ABEL";"2016";"35";12
"21011";1;"ABEL";"2017";"35";10
"21069";1;"ABEL";"2018";"35";14
"21124";1;"ABEL";"2019";"35";13
"21187";1;"ABEL";"2020";"35";13
"21902";1;"ABRIEL";"2019";"35";3
"22754";1;"ACHILLE";"2002";"35";5
"22792";1;"ACHILLE";"2004";"35";3
"22849";1;"ACHILLE";"2006";"35";5
"22892";1;"ACHILLE";"2007";"35";4
"22929";1;"ACHILLE";"2008";"35";7
"22965";1;"ACHILLE";"2009";"35";3
"23007";1;"ACHILLE";"2010";"35";10
"23054";1;"ACHILLE";"2011";"35";5
"23095";1;"ACHILLE";"2012";"35";7
"23178";1;"ACHILLE";"2014";"35";4
"23217";1;"ACHILLE";"2015";"35";6
"23262";1;"ACHILLE";"2016";"35";7
"23302";1;"ACHILLE";"2017";"35";8
"23351";1;"ACHILLE";"2018";"35";10
"23399";1;"ACHILLE";"2019";"35";8
"23446";1;"ACHILLE";"2020";"35";7
"23631";1;"ACHRAF";"2008";"35";3
"24334";1;"ADAM";"2000";"35";3
"24396";1;"ADAM";"2001";"35";6
"24456";1;"ADAM";"2002";"35";6
"24529";1;"ADAM";"2003";"35";8
"24604";1;"ADAM";"2004";"35";9
"24680";1;"ADAM";"2005";"35";14
"24761";1;"ADAM";"2006";"35";19
"24846";1;"ADAM";"2007";"35";12
"24934";1;"ADAM";"2008";"35";21
"25024";1;"ADAM";"2009";"35";16
"25113";1;"ADAM";"2010";"35";26
"25204";1;"ADAM";"2011";"35";25
"25297";1;"ADAM";"2012";"35";32
"25386";1;"ADAM";"2013";"35";37
"25479";1;"ADAM";"2014";"35";34
"25572";1;"ADAM";"2015";"35";33
"25668";1;"ADAM";"2016";"35";36
"25758";1;"ADAM";"2017";"35";33
"25847";1;"ADAM";"2018";"35";31
"25939";1;"ADAM";"2019";"35";33
"26033";1;"ADAM";"2020";"35";29
"26553";1;"ADAME";"2020";"35";3
"27461";1;"ADEL";"2014";"35";3
"27489";1;"ADEL";"2015";"35";5
"27518";1;"ADEL";"2016";"35";3
"27570";1;"ADEL";"2018";"35";5
"27597";1;"ADEL";"2019";"35";4
"28048";1;"ADEM";"2009";"35";3
"28262";1;"ADEM";"2014";"35";5
"28311";1;"ADEM";"2015";"35";5
"28363";1;"ADEM";"2016";"35";6
"28412";1;"ADEM";"2017";"35";4
"28468";1;"ADEM";"2018";"35";5
"28521";1;"ADEM";"2019";"35";6
"28576";1;"ADEM";"2020";"35";5
"28673";1;"ADEN";"2018";"35";3
"28686";1;"ADEN";"2019";"35";3
"28698";1;"ADEN";"2020";"35";4
"29241";1;"ADIL";"2009";"35";4
"29278";1;"ADIL";"2011";"35";3
"29401";1;"ADIL";"2018";"35";3
"31281";1;"ADONIS";"2017";"35";4
"31648";1;"ADRIAN";"2001";"35";5
"31847";1;"ADRIAN";"2013";"35";4
"31903";1;"ADRIAN";"2016";"35";4
"31946";1;"ADRIAN";"2018";"35";3
"31969";1;"ADRIAN";"2019";"35";3
"32291";1;"ADRIEL";"2019";"35";3
